Record Id,Mailer Category Name,Priority,AFB Name,Category,Modified Time
zcrm_5352026000002539169,BBQ Cleaning,false,SERVICE-Other,Home Services,2025-07-18 19:11:31
zcrm_5352026000002539791,Window Film,false,SERVICE-Other,Home Improvement,2025-01-27 17:08:46
zcrm_5352026000002554044,Auto Glass/Repair,false,PROFESSIONAL-Other,Personal & Professional Services,2025-07-18 19:11:31
zcrm_5352026000002554045,Automobile Dealerships,false,RETAIL-Automotive,Personal & Professional Services,2025-07-18 19:11:31
zcrm_5352026000002554046,Car Wash & Detailing,false,RETAIL-Automotive,Personal & Professional Services,2025-07-18 19:11:31
zcrm_5352026000002554047,Chiropractors,false,HEALTH-Medical Services,Personal & Professional Services,2025-07-18 19:11:31
zcrm_5352026000002554048,Cool Sculpting,false,HEALTH-Medical Services,Personal & Professional Services,2025-07-18 19:11:31
zcrm_5352026000002554049,Counseling Services,false,PROFESSIONAL-Counseling,Personal & Professional Services,2025-07-18 19:11:31
zcrm_5352026000002554050,Dentists & Cosmetic Surgery,false,HEALTH-Medical Services,Personal & Professional Services,2025-07-18 19:11:31
zcrm_5352026000002554052,Lasik Surgery,false,HEALTH-Vision Care/Lasik,Personal & Professional Services,2025-01-27 16:37:08
zcrm_5352026000002554054,Flooring,false,HOME-Flooring,Home Improvement,2025-07-18 19:11:31
zcrm_5352026000002554055,Heating and Cooling,true,HOME-HVAC,Home Improvement,2025-07-18 19:19:33
zcrm_5352026000002554056,Media Systems,false,RETAIL-Other,Home Services,2025-07-18 19:11:31
zcrm_5352026000002554057,Plumbing,true,SERVICE-Plumbing Services,Home Improvement,2025-01-27 16:55:25
zcrm_5352026000002554058,Pools and Spas,false,HOME-Pool/Spa Builders,Home Improvement,2025-01-27 16:55:25
zcrm_5352026000002554059,Roofing,false,HOME-Roofing,Home Improvement,2025-01-27 17:08:46
zcrm_5352026000002554060,Exterior Solutions,false,HOME-Other,Home Improvement,2025-01-27 15:50:21
zcrm_5352026000002554061,Security Screens & Doors,false,SERVICE-Security Serv/Equip.,Home Improvement,2025-01-27 17:08:46
zcrm_5352026000002554062,Security Systems,false,SERVICE-Security Serv/Equip.,Home Improvement,2025-07-18 19:11:31
zcrm_5352026000002554063,Sheds and Storage,false,HOME-Other,Home Improvement,2025-07-18 19:11:31
