id,business_name,contractor_license_number,contractor_license_type_code,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,license_effective_date,license_expiration_date,business_type_code,business_type_code_desc,specialty_code1,specialty_code1_desc,specialty_code2,specialty_code2_desc,ubi,primary_principal_name,status_code,contractor_license_status,contractor_license_suspend_date,is_home_contractor,mailer_category,priority_category,website_url,website_status,business_description,tagline,established_year,years_in_business,services_offered,service_categories,specializations,website_email,website_phone,physical_address,residential_focus,commercial_focus,emergency_services,free_estimates,warranty_offered,confidence_score,classification_confidence,website_confidence,processing_status,last_processed,manual_review_needed,manual_review_reason,review_status,reviewed_by,reviewed_at,address_line_1,zip_code
152,1502-WLD EDMONDS LLC,,,CONSTRUCTION CONTRACTOR,,,KIRKLAND,WA,,(425) 576-9390,,,,,,,,,,,,,,,,,https://madeinwashington.com/,,,,,,,,,,,,,,,,,0.0,,,completed,2025-07-23 04:56:22,,,,,,,
1475,A & D'S PAINTING,,,CONSTRUCTION CONTRACTOR,,,MAPLE VALLEY,WA,,(253) 266-0657,,,,,,,,,,,,,,True,Painting,,https://www.aandd'spainting.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:10,,,,,,,
1454,A & C TILES,,,CONSTRUCTION CONTRACTOR,,,BOTHELL,WA,,(425) 381-6003,,,,,,,,,,,,,,True,General Contractor,,https://www.aandctiles.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:04,,,,,,,
1463,A & D FINISHES INC,,,CONSTRUCTION CONTRACTOR,,,SUMNER,WA,,(206) 423-3750,,,,,,,,,,,,,,True,General Contractor,,https://www.aanddfinishesinc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:07,,,,,,,
1468,A & D LAWN CARE,,,CONSTRUCTION CONTRACTOR,,,GIG HARBOR,WA,,(253) 961-9928,,,,,,,,,,,,,,True,General Contractor,,https://www.aanddlawncare.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:08,,,,,,,
1469,A & D MASONRY & TILE LLC,,,CONSTRUCTION CONTRACTOR,,,SELAH,WA,,(509) 388-8023,,,,,,,,,,,,,,True,General Contractor,,https://www.aanddmasonryandtilel.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:08,,,,,,,
1470,A & D MECHANICAL,,,CONSTRUCTION CONTRACTOR,,,MARYSVILLE,WA,,(425) 923-5923,,,,,,,,,,,,,,True,General Contractor,,https://www.aanddmechanical.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:08,,,,,,,
1471,A & D QUALITY CONST CO LLC,,,CONSTRUCTION CONTRACTOR,,,RENTON,WA,,(425) 271-7751,,,,,,,,,,,,,,True,General Contractor,,https://www.aanddqualityconstcol.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:10,,,,,,,
1472,A & D REDONE LLC,,,CONSTRUCTION CONTRACTOR,,,SPOKANE,WA,,(509) 768-1790,,,,,,,,,,,,,,True,General Contractor,,https://www.aanddredonellc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:10,,,,,,,
1473,A & D ROOFING LLC,,,CONSTRUCTION CONTRACTOR,,,TACOMA,WA,,(253) 448-7516,,,,,,,,,,,,,,True,Roofing,,https://www.aanddroofingllc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:10,,,,,,,
1474,A & D SPECIALTIES INC,,,CONSTRUCTION CONTRACTOR,,,LEADORE,ID,,(208) 768-2800,,,,,,,,,,,,,,True,General Contractor,,https://www.aanddspecialtiesinc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:10,,,,,,,
1476,A & E AFFORDABLE TILE LLC,,,CONSTRUCTION CONTRACTOR,,,VANCOUVER,WA,,(360) 909-7364,,,,,,,,,,,,,,True,General Contractor,,https://www.aandeaffordabletilel.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:11,,,,,,,
1502,A & G Brothers Gen Const LLC,,,CONSTRUCTION CONTRACTOR,,,EAST WENATCHEE,WA,,(509) 630-6262,,,,,,,,,,,,,,True,General Contractor,,https://www.aandgbrothersgencons.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:19,,,,,,,
1477,A & E BUILDING & PROP MGMT,,,CONSTRUCTION CONTRACTOR,,,BELLINGHAM,WA,,(360) 441-6136,,,,,,,,,,,,,,True,General Contractor,,https://www.aandebuildingandprop.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:11,,,,,,,
1478,A & E CONSTRUCTION,,,CONSTRUCTION CONTRACTOR,,,SPOKANE VALLEY,WA,,(509) 951-6631,,,,,,,,,,,,,,True,General Contractor,,https://www.aandeconstruction.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:11,,,,,,,
1481,A & E CONTRACTING INC,,,CONSTRUCTION CONTRACTOR,,,SHORELINE,WA,,(206) 363-3203,,,,,,,,,,,,,,True,General Contractor,,https://www.aandecontractinginc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:13,,,,,,,
1482,A & E CONTRACTORS LLC,,,CONSTRUCTION CONTRACTOR,,,VANCOUVER,WA,,(360) 784-0251,,,,,,,,,,,,,,True,General Contractor,,https://www.aandecontractorsllc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:13,,,,,,,
1485,A & E ELECTRIC INC,,,ELECTRICAL CONTRACTOR,,,FERNDALE,WA,,(360) 739-0534,,,,,,,,,,,,,,True,Electrical,,https://www.aandeelectricinc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:13,,,,,,,
1488,A & E FACTORY SERVICE LLC,,,ELECTRICAL CONTRACTOR,,,HOFFMAN ESTATES,IL,,(847) 286-5487,,,,,,,,,,,,,,True,General Contractor,,https://www.aandefactoryservicel.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:14,,,,,,,
1493,A & E INSULATION INC,,,CONSTRUCTION CONTRACTOR,,,MARYSVILLE,WA,,(360) 651-1058,,,,,,,,,,,,,,True,General Contractor,,https://www.aandeinsulationinc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:16,,,,,,,
1494,A & E KOBEK HANDYMAN SERVICE,,,CONSTRUCTION CONTRACTOR,,,OLYMPIA,WA,,(317) 796-8815,,,,,,,,,,,,,,True,Handyman,,https://www.aandekobekhandymanse.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:16,,,,,,,
1495,A & E LAWN SERVICES,,,CONSTRUCTION CONTRACTOR,,,OLYMPIA,WA,,(360) 888-4788,,,,,,,,,,,,,,True,General Contractor,,https://www.aandelawnservices.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:16,,,,,,,
1452,A & C QUALITY SIDING,,,CONSTRUCTION CONTRACTOR,,,SHORELINE,WA,,(206) 531-6892,,,,,,,,,,,,,,True,General Contractor,,https://www.aandcqualitysiding.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:04,,,,,,,
1450,A & C MECHANICAL INC,,,CONSTRUCTION CONTRACTOR,,,WENATCHEE,WA,,(509) 663-7764,,,,,,,,,,,,,,True,General Contractor,,https://www.aandcmechanicalinc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:02,,,,,,,
1448,A & C HOME BUILDERS,,,CONSTRUCTION CONTRACTOR,,,WASHOUGAL,WA,,(509) 361-3606,,,,,,,,,,,,,,True,General Contractor,,https://www.aandchomebuilders.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:02,,,,,,,
1447,A & C HEATING AND COOLING,,,CONSTRUCTION CONTRACTOR,,,REDMOND,WA,,(206) 680-4064,,,,,,,,,,,,,,True,HVAC,,https://www.aandcheatingandcooli.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:51:02,,,,,,,
1403,A & A PUMP SALES LLC,,,ELECTRICAL CONTRACTOR,,,THE DALLES,OR,,(541) 296-1886,,,,,,,,,,,,,,True,General Contractor,,https://www.aandapumpsalesllc.com,,,,,,,,,,,,,,,,,0.85,,,completed,2025-08-01 20:50:49,,,,,,,
