business_name,phone_number,address_line_1,city,state,zip_code,website_url,confidence_score,is_home_contractor,mailer_category,processing_status,last_processed
1502-WLD EDMONDS LLC,(425) 576-9390,,KIRKLAND,WA,,https://madeinwashington.com/,0.0,,,completed,2025-07-23 04:56:22
A & D'S PAINTING,(253) 266-0657,,MAPLE VALLEY,WA,,https://www.aandd'spainting.com,0.85,True,Painting,completed,2025-08-01 20:51:10
A & C TILES,(425) 381-6003,,BOTHELL,WA,,https://www.aandctiles.com,0.85,True,General Contractor,completed,2025-08-01 20:51:04
A & D FINISHES INC,(206) 423-3750,,SUMNER,WA,,https://www.aanddfinishesinc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:07
A & D LAWN CARE,(253) 961-9928,,GIG HARBOR,WA,,https://www.aanddlawncare.com,0.85,True,General Contractor,completed,2025-08-01 20:51:08
A & D MASONRY & TILE LLC,(509) 388-8023,,SELAH,WA,,https://www.aanddmasonryandtilel.com,0.85,True,General Contractor,completed,2025-08-01 20:51:08
A & D MECHANICAL,(425) 923-5923,,MARYSVILLE,WA,,https://www.aanddmechanical.com,0.85,True,General Contractor,completed,2025-08-01 20:51:08
A & D QUALITY CONST CO LLC,(425) 271-7751,,RENTON,WA,,https://www.aanddqualityconstcol.com,0.85,True,General Contractor,completed,2025-08-01 20:51:10
A & D REDONE LLC,(509) 768-1790,,SPOKANE,WA,,https://www.aanddredonellc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:10
A & D ROOFING LLC,(253) 448-7516,,TACOMA,WA,,https://www.aanddroofingllc.com,0.85,True,Roofing,completed,2025-08-01 20:51:10
A & D SPECIALTIES INC,(208) 768-2800,,LEADORE,ID,,https://www.aanddspecialtiesinc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:10
A & E AFFORDABLE TILE LLC,(360) 909-7364,,VANCOUVER,WA,,https://www.aandeaffordabletilel.com,0.85,True,General Contractor,completed,2025-08-01 20:51:11
A & G Brothers Gen Const LLC,(509) 630-6262,,EAST WENATCHEE,WA,,https://www.aandgbrothersgencons.com,0.85,True,General Contractor,completed,2025-08-01 20:51:19
A & E BUILDING & PROP MGMT,(360) 441-6136,,BELLINGHAM,WA,,https://www.aandebuildingandprop.com,0.85,True,General Contractor,completed,2025-08-01 20:51:11
A & E CONSTRUCTION,(509) 951-6631,,SPOKANE VALLEY,WA,,https://www.aandeconstruction.com,0.85,True,General Contractor,completed,2025-08-01 20:51:11
A & E CONTRACTING INC,(206) 363-3203,,SHORELINE,WA,,https://www.aandecontractinginc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:13
A & E CONTRACTORS LLC,(360) 784-0251,,VANCOUVER,WA,,https://www.aandecontractorsllc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:13
A & E ELECTRIC INC,(360) 739-0534,,FERNDALE,WA,,https://www.aandeelectricinc.com,0.85,True,Electrical,completed,2025-08-01 20:51:13
A & E FACTORY SERVICE LLC,(847) 286-5487,,HOFFMAN ESTATES,IL,,https://www.aandefactoryservicel.com,0.85,True,General Contractor,completed,2025-08-01 20:51:14
A & E INSULATION INC,(360) 651-1058,,MARYSVILLE,WA,,https://www.aandeinsulationinc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:16
A & E KOBEK HANDYMAN SERVICE,(317) 796-8815,,OLYMPIA,WA,,https://www.aandekobekhandymanse.com,0.85,True,Handyman,completed,2025-08-01 20:51:16
A & E LAWN SERVICES,(360) 888-4788,,OLYMPIA,WA,,https://www.aandelawnservices.com,0.85,True,General Contractor,completed,2025-08-01 20:51:16
A & C QUALITY SIDING,(206) 531-6892,,SHORELINE,WA,,https://www.aandcqualitysiding.com,0.85,True,General Contractor,completed,2025-08-01 20:51:04
A & C MECHANICAL INC,(509) 663-7764,,WENATCHEE,WA,,https://www.aandcmechanicalinc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:02
A & C HOME BUILDERS,(509) 361-3606,,WASHOUGAL,WA,,https://www.aandchomebuilders.com,0.85,True,General Contractor,completed,2025-08-01 20:51:02
A & C HEATING AND COOLING,(206) 680-4064,,REDMOND,WA,,https://www.aandcheatingandcooli.com,0.85,True,HVAC,completed,2025-08-01 20:51:02
A & A PUMP SALES LLC,(541) 296-1886,,THE DALLES,OR,,https://www.aandapumpsalesllc.com,0.85,True,General Contractor,completed,2025-08-01 20:50:49
A & A SANTOS DRYWALL,(509) 388-3839,,YAKIMA,WA,,https://www.aandasantosdrywall.com,0.85,True,General Contractor,completed,2025-08-01 20:50:49
A & A SEPTIC DSGNS & PMPG INC,(425) 222-5388,,FALL CITY,WA,,https://www.aandasepticdsgnsandp.com,0.85,True,General Contractor,completed,2025-08-01 20:50:50
A & A WELL DRILLING INC,(360) 468-2587,,LOPEZ ISLAND,WA,,https://www.aandawelldrillinginc.com,0.85,True,General Contractor,completed,2025-08-01 20:50:50
A & B BUILDERS,(509) 860-4510,,WENATCHEE,WA,,https://www.aandbbuilders.com,0.85,True,General Contractor,completed,2025-08-01 20:50:52
A & B CONCRETE MASTERS LLC,(509) 434-6765,,DEER PARK,WA,,https://www.aandbconcretemasters.com,0.85,True,General Contractor,completed,2025-08-01 20:50:53
A & B CRAFTSMEN LLP,(360) 430-2203,,SPOKANE,WA,,https://www.aandbcraftsmenllp.com,0.85,True,General Contractor,completed,2025-08-01 20:50:53
A & B ELECTRIC INC,(509) 551-6983,,KENNEWICK,WA,,https://www.aandbelectricinc.com,0.85,True,Electrical,completed,2025-08-01 20:50:53
A & B HOME IMPROVEMENT,(360) 592-4303,,BELLINGHAM,WA,,https://www.aandbhomeimprovement.com,0.85,True,General Contractor,completed,2025-08-01 20:50:55
A & B PROCESS SYSTEMS CORP,(715) 687-4332,,STRATFORD,WI,,https://www.aandbprocesssystemsc.com,0.85,True,General Contractor,completed,2025-08-01 20:50:56
A & B SHEET METAL WORKS LLC,(503) 254-5584,,PORTLAND,OR,,https://www.aandbsheetmetalworks.com,0.85,True,General Contractor,completed,2025-08-01 20:50:58
A & B TRANSPORTATION,(509) 750-3648,,OTHELLO,WA,,https://www.aandbtransportation.com,0.85,True,General Contractor,completed,2025-08-01 20:50:58
A & B TREE SERVICE,(360) 701-3838,,OLYMPIA,WA,,https://www.aandbtreeservice.com,0.85,True,General Contractor,completed,2025-08-01 20:50:58
A & C CONCRETE,(360) 260-5872,,VANCOUVER,WA,,https://www.aandcconcrete.com,0.85,True,General Contractor,completed,2025-08-01 20:50:59
A & C CONCRETE SPECIALIST LLC,(253) 693-8431,,LAKEWOOD,WA,,https://www.aandcconcretespecial.com,0.85,True,General Contractor,completed,2025-08-01 20:50:59
A & C ELECTRIC LLC,(253) 740-2729,,OROVILLE,WA,,https://www.aandcelectricllc.com,0.85,True,Electrical,completed,2025-08-01 20:51:01
A & C GLASSWERKS LLC,(206) 243-5013,,RENTON,WA,,https://www.aandcglasswerksllc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:02
A & F DRYWALL LLC,(509) 302-1458,,PASCO,WA,,https://www.aandfdrywallllc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:17
A & G ELECTRIC LLC,(360) 624-3048,,LA CENTER,WA,,https://www.aandgelectricllc.com,0.85,True,Electrical,completed,2025-08-01 20:51:20
A & R Trucking LLC,(509) 833-9522,,YAKIMA,WA,,https://www.aandrtruckingllc.com,0.85,True,General Contractor,completed,2025-08-01 20:52:03
A & P HOLDINGS LLC,(425) 508-2465,,LAKE STEVENS,WA,,https://www.aandpholdingsllc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:55
A & L HARDWOOD FLOORS,(425) 883-0326,,REDMOND,WA,,https://www.aandlhardwoodfloors.com,0.85,True,Flooring,completed,2025-08-01 20:51:42
A & L RENOVATIONS LLC,(207) 522-6894,,SPOKANE,WA,,https://www.aandlrenovationsllc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:42
A & M FLOORING,(951) 533-7243,,WEST RICHLAND,WA,,https://www.aandmflooring.com,0.85,True,Flooring,completed,2025-08-01 20:51:46
A & M HOMES LLC,(206) 261-7590,,SEATTLE,WA,,https://www.aandmhomesllc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:48
A & M MAINTENANCE LLC,(206) 832-5084,,PUYALLUP,WA,,https://www.aandmmaintenancellc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:48
A & M MASONRY INC,(206) 909-1813,,SEATTLE,WA,,https://www.aandmmasonryinc.com,0.85,True,General Contractor,completed,2025-08-01 20:51:48
