business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,gpt4mini_analysis,created_at
$AVER HARDWOOD FLOORS LLC,AVERHHF946CM,CONSTRUCTION CONTRACTOR,17442 116th Ave SE,,RENTON,WA,98058,(206) 372-5166,"LE, SON T",,Flooring,"Install new and refinish wood floors, stair cases with the best quality at the affordable price. We serve Seattle and surrounding areas since 2002.","{""Hardwood floor installation"",""Hardwood floor refinishing"",""Staircase installation""}",1.00,,,,completed,approved_download,2025-07-23 02:35:15.007847,,,2025-07-22 23:37:37.197793
(H)ANDYMAN LLC,HANDYL*845B8,CONSTRUCTION CONTRACTOR,10248 1ST AVENUE SOUTHWEST,,SEATTLE,WA,98146,(206) 963-7622,"RICE, ANDREW CHARLES",,Handyman,"H)ANDYMAN LLC offers a range of handyman services in Seattle, WA, focusing on home repairs and improvements.","{""Cabinet installation"",""Door repair"",""Deck refurbishment"",""Furniture assembly"",""Molding and trim installation""}",1.00,,,,completed,approved_download,2025-07-23 03:12:15.946142,,,2025-07-22 23:37:37.197793
1 TOM PLUMBER,1TOMPTP773O8,PLUMBING CONTRACTOR,6250 W CLEARWATER AVE STE 101,,KENNEWICK,WA,99336,(509) 727-3413,"GOIRI, SCOTT A",https://www.1tomplumber.com/tri-cities/,Plumbing,"1-Tom-Plumber offers reliable and fast plumbing services in the Tri-Cities area, specializing in emergency plumbing and water damage restoration.","{""Emergency Plumbing"",""Drain Cleaning"",""Water Damage Restoration"",Excavation}",1.00,,,,completed,approved_download,2025-07-23 03:17:15.244152,,,2025-07-22 23:37:37.197793
1 TOM PLUMBER STTL & GRTR ES,1TOMPTP761D5,PLUMBING CONTRACTOR,20109 144TH AVENUE NE,,WOODINVILLE,WA,98072,(425) 256-3408,"HAWKINS, CRAIG VICTOR",https://us.nextdoor.com/pages/1-tom-plumber-woodinville-wa/,Plumbing,"1-Tom-Plumber is a full-service plumbing and drain cleaning company, available 24/7/365 for both residential and commercial needs. We are committed to providing reliable, responsive plumbing care with a focus on customer satisfaction.","{""Emergency plumbing"",""Drain cleaning"",""Leak repair"",""Stubborn drain clearing""}",1.00,,,,completed,approved_download,2025-07-23 03:17:26.032376,,,2025-07-22 23:37:37.197793
1 WAY ELECTRICAL SERVS LLC,1WAYEWE761MS,ELECTRICAL CONTRACTOR,1107 NW 61ST ST,,SEATTLE,WA,98107,(206) 694-9024,"Stanley, Jonathan L",,Electrical,"1 WAY ELECTRICAL SERVS LLC is an electrical contractor based in Seattle, WA, specializing in electrical services.","{""Electrical installation"",""Electrical repair"",""Wiring services"",""Lighting installation""}",1.00,,,,completed,approved_download,2025-07-23 03:17:20.040278,,,2025-07-22 23:37:37.197793
1-2-3 CONSTRUCTION LLC,123COCL847CZ,CONSTRUCTION CONTRACTOR,2265 Aviator Ln,,OAK HARBOR,WA,98277,(360) 720-1125,"THOMPSON, NATHAN ALAN",https://www.1-2-3construction.com/,Kitchen & Bath,"1-2-3 Construction LLC is a general contractor specializing in high-quality construction and remodeling services, dedicated to customer satisfaction.","{""Kitchen Remodeling"",""Bathroom Remodeling"",""Custom Home Builds""}",1.00,,,,completed,approved_download,2025-07-23 03:17:26.031552,,,2025-07-22 23:37:37.197793
1-2-3 PLUMBING LLC,123PLPL767OF,PLUMBING CONTRACTOR,8115 18TH AVE CT E,,TACOMA,WA,98404,(253) 882-4845,"SANCHEZ BAZAIL, RICARDO",,Plumbing,"1-2-3 PLUMBING LLC is a plumbing contractor based in Tacoma, WA, providing plumbing services.",{},1.00,,,,completed,approved_download,2025-07-23 03:17:35.221258,,,2025-07-22 23:37:37.197793
1-800 PLUMBER & AIR PACIFIC NW,1800PPA785KB,PLUMBING CONTRACTOR,9735 SW SUNSHINE CT ST 100,,BEAVERTON,OR,97005,(503) 676-3449,"NGUYEN, CHRISTOPHER DAO",https://1800plumber.com/portland-or/,Plumbing,1-800-Plumber +Air is an industry-leading Plumbing and HVAC company focused on providing high-quality services in the Portland Metro and Vancouver areas.,"{""Plumbing Services"",""Heating Services"",""Cooling Services"",""Emergency Services""}",1.00,,,,completed,approved_download,2025-07-23 03:17:35.220811,,,2025-07-22 23:37:37.197793
1-800-PLUMBER + AIR,1800PA*771MU,PLUMBING CONTRACTOR,14630 NE 95th ST,,REDMOND,WA,98052,(425) 298-6969,"SUPRAMANIAN, RAMANATHAN",https://1800plumber.com/,Plumbing,"1-800-Plumber +Air is an industry-leading Plumbing and HVAC company focused on providing fast, dependable services for plumbing, heating, and cooling needs.","{""Plumbing Services"",""Cooling Services"",""Heating Services"",""Emergency Services""}",1.00,,,,completed,approved_download,2025-07-23 03:18:06.54833,,,2025-07-22 23:37:37.197793
1-800-STRIPER OF BELLEVUE,1800SB*767M5,CONSTRUCTION CONTRACTOR,11112 NE 124TH LN APT D213,,KIRKLAND,WA,98034,(425) 532-5401,"HESS, KIERAN MATTHEW",https://1800striper.com/striper-of-bellevue/,Painting,"1-800-STRIPER of Bellevue specializes in professional line striping services for parking lots, sports courts, and more in the Greater Puget Sound area.","{""Parking lot striping"",Restriping,""ADA compliance striping"",""Sport court and playground markings"",""Fire lane striping"",""Interior striping""}",1.00,,,,completed,approved_download,2025-07-23 03:17:58.492461,,,2025-07-22 23:37:37.197793
