id,business_name,city,state,zip,website_url,website_status,confidence_score,website_confidence,classification_confidence,mailer_category,is_home_contractor,processing_status,review_status,puget_sound,created_at,updated_at
79377,BENJAMIN FRANKLIN PLUMBING,Bellevue,WA,98005,https://www.benjaminfranklinplumbing.com/bellevue/,found,0.95,0.95,0.95,Plumbing,True,completed,approved_download,True,2025-08-02 05:26:40.487499,2025-08-04 08:58:38.106263
79378,BENJAMIN FRANKLIN PLUMBING,BELLEVUE,WA,98005,https://www.benjaminfranklinplumbing.com/bellevue/,found,0.95,0.95,0.95,Plumbing,True,completed,approved_download,True,2025-08-02 05:26:40.487499,2025-08-04 08:59:02.945834
60768,+SUN TREE SERVICE LLC,Parkland,WA,98444,https://www.bizapedia.com/wa/sun-tree-service-llc.html,found,0.90,0.75,0.90,Tree Service,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:05:52.185243
60807,1-800-PLUMBER + AIR,REDMOND,WA,98052,https://shasheebvij.com/wp-job/job/general-manager-redmond-at-1-800-plumber-plus-air-of-eastside-seattle-redmond-wa-MUVTNm5NcEhXMXlnWE9OeE4vZXl2WktlNHc9PQ==,found,0.90,0.95,0.90,Plumbing,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:06:15.025705
60820,100 PROOF DRYWALL LLC,SOUTHWORTH,WA,98386,https://www.100proofdrywall.com/,found,0.90,0.95,0.90,Dry Wall,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:28:23.462603
60840,110% LLC,YELM,WA,98597,https://getdnaplumbingllc.com/,found,0.90,0.95,0.90,Plumbing,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:24:13.916830
60856,12 DECKS & FENCES LLC,Snohomish,WA,98296,https://12decks.vercel.app/,found,0.90,0.80,0.90,Decks & Patios,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:32:28.287747
60873,123 Electric Service Inc,Bellevue,WA,98007,https://123electricservice.com/,found,0.90,0.95,0.90,Electrician,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:35:43.892504
60874,123 Electric Service Inc,Bellevue,WA,98007,https://123electricservice.com/,found,0.90,0.95,0.90,Electrician,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:16:40.194776
61094,2 SONS PLUMBING,PACIFIC,WA,98047,https://www.2sonsplumbing.com/plumbing-pacific-wa/,found,0.90,0.95,0.90,Plumbing,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:08:40.967222
61097,2 SONS PLUMBING LLC,PACIFIC,WA,98047,https://www.2sonsplumbing.com/plumbing-pacific-wa/,found,0.90,0.95,0.90,Plumbing,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:09:09.465915
61150,21ST CENTURY ELECTRIC,BREMERTON,WA,98312,https://gentech.generacdealers.com/,found,0.90,0.90,0.90,Electrician,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:17:58.018226
61183,24/7 HANDYMAN,KENT,WA,98031,https://samandsons.net/siding-repair-in-washington-dc/,found,0.90,0.95,0.90,Plumbing,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:10:08.427394
61338,3 LINES ROOFING LLC,AUBURN,WA,98092,https://3linesroofingllc.com/our-projects/,found,0.90,0.95,0.90,Roofing,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:13:08.956682
61438,360 CONCRETE DESIGN LLC,OLYMPIA,WA,98512,https://360concretedesign.com/,found,0.90,0.85,0.90,Concrete,True,completed,approved_download,True,2025-08-02 05:26:37.771459,2025-08-03 23:22:02.967052
65275,ACE CONCRETE FINISHING INC,SEATTLE,WA,98125,https://www.aceconcretefinishing.com/,found,0.90,0.95,0.90,Concrete,True,completed,approved_download,True,2025-08-02 05:26:38.391707,2025-08-04 07:00:55.480636
65276,ACE CONCRETE LLC,TUKWILA,WA,98188,https://www.aceconcretefinishing.com/,found,0.90,0.95,0.90,Concrete,True,completed,approved_download,True,2025-08-02 05:26:38.391707,2025-08-04 07:01:05.928935
65309,ACE GLASS LLC,EVERETT,WA,98208,https://www.aceglasswa.com/,found,0.90,0.95,0.90,Window/Glass Repair,True,completed,approved_download,True,2025-08-02 05:26:38.391707,2025-08-04 07:05:09.311349
65312,ACE HANDYMAN SERVICE,RENTON,WA,98056,https://www.acehandymanservices.com/offices/puget-sound,found,0.90,0.90,0.90,Handyman,True,completed,approved_download,True,2025-08-02 05:26:38.391707,2025-08-04 07:05:25.878410
65351,ACE PATCH CONSTRUCTION LLC,PUYALLUP,WA,98371,https://www.acepatchconstruction.com/,found,0.90,0.95,0.90,Concrete,True,completed,approved_download,True,2025-08-02 05:26:38.391707,2025-08-04 07:07:37.434350
65376,ACE TREE SERVICE LLC,BELLEVUE,WA,98008,https://www.acetreesvc.com/,found,0.90,0.95,0.90,Tree Service,True,completed,approved_download,True,2025-08-02 05:26:38.391707,2025-08-04 07:10:00.352180
65399,ACES ELECTRICAL SERVICES,PORT ORCHARD,WA,98367,https://aceselectricalservices.com/,found,0.90,0.95,0.90,Electrician,True,completed,approved_download,True,2025-08-02 05:26:38.391707,2025-08-04 07:12:57.418710
65450,ACKERMANN ELECTRIC COMPANY,MOUNT VERNON,WA,98273,https://ackermannelectric.com/,found,0.90,0.95,0.90,Electrician,True,completed,approved_download,True,2025-08-02 05:26:38.391707,2025-08-04 07:19:16.848756
