id,business_name,contractor_license_number,contractor_license_type_code,contractor_license_type_code_desc,address_line_1,address2,city,state,zip,phone_number,license_effective_date,license_expiration_date,business_type_code,business_type_code_desc,specialty_code1,specialty_code1_desc,specialty_code2,specialty_code2_desc,ubi,primary_principal_name,status_code,contractor_license_status,contractor_license_suspend_date,is_home_contractor,mailer_category,priority_category,website_url,website_status,business_description,tagline,established_year,years_in_business,services_offered,service_categories,specializations,website_email,website_phone,physical_address,residential_focus,commercial_focus,emergency_services,free_estimates,warranty_offered,confidence_score,classification_confidence,website_confidence,processing_status,last_processed,manual_review_needed,manual_review_reason,review_status,reviewed_by,reviewed_at,address_line_1,zip_code
289,1UP FLOORS LLC,1UPFLFL862BU,CC,CONSTRUCTION CONTRACTOR,PO BOX 2044,,SUMNER,WA,98390,(253) 292-6775,2014-01-31,2026-01-31,L,Limited Liability Company,01,GENERAL,,,603363007.0,"MARCHEL, NICHOLAS RYAN",A,ACTIVE,,True,Flooring,False,https://www.1upfloors.com,found_enhanced,1UP FLOORS LLC specializes in flooring solutions for multi-family residences in the Seattle/Tacoma area.,,,,"Flooring installation, Flooring repair, Consultation for multi-family projects","Flooring, Multi-Family Flooring Installation",,,,,,,,,,1.0,,1.0,completed,2025-07-23 18:17:17,False,,approved_download,,,,
241,1ST CHOICE PAINTING LLP,1STCHCP807LP,CC,CONSTRUCTION CONTRACTOR,17728 140TH AVE E,,PUYALLUP,WA,98374,(253) 548-6183,2020-06-19,2025-05-11,M,Limited Liability Partnership,CB,PAINTING/WALLCOVERING,,,604614844.0,"PERKINS, TYLER",E,EXPIRED,2024-01-08,,Painting,False,https://1st.net,,1ST CHOICE PAINTING LLP is a licensed construction contractor specializing in painting services.,,,,"Interior Painting, Exterior Painting, Residential Painting, Commercial Painting","Painting, Interior and Exterior Painting",,,,,,,,,,1.0,,,completed,2025-07-23 05:28:52,False,,approved_download,,,,
265,1ST GENERATION ELECTRIC LLC,1STGEGE782KE,EC,ELECTRICAL CONTRACTOR,1207 N LANDING WAY # 1075,,RENTON,WA,98057,(206) 910-1212,2022-05-05,2024-05-05,L,Limited Liability Company,01,GENERAL,,,604904076.0,"THANT, WIN M",O,OUT OF BUSINESS,,,Electrical,False,https://1st.net,,"1ST GENERATION ELECTRIC LLC is an electrical contractor based in Renton, WA, providing electrical services.",,,,,"Electrical, Electrical Contractor",,,,,,,,,,1.0,,,completed,2025-07-23 05:30:40,False,,approved_download,,,,
356,2-SHEA'S PAINTING LLC,2SHEAPL937L2,CC,CONSTRUCTION CONTRACTOR,P.O. Box 44,,TRACYTON,WA,983930044,(360) 649-3783,2007-06-22,2027-08-03,L,Limited Liability Company,01,GENERAL,,,602730669.0,"SHEA, MICHAEL Allen",A,ACTIVE,,True,Painting,False,https://www.2sheaspainting.com/,,"2-Shea's Painting & Remodeling in Bremerton, WA, offers a wide range of painting and remodeling services for both residential and commercial clients.",,,,"Residential Painting, Commercial Painting, Interior Remodeling, Exterior Remodeling, Cabinet Painting, Flooring Installation, Siding Installation, Excavation","Painting, Residential & Commercial Painting and Remodeling",,,,,,,,,,1.0,,,completed,2025-07-23 18:21:42,False,,approved_download,,,,
133,12TH MAN FLOORING LLC,12THMMF845RH,CC,CONSTRUCTION CONTRACTOR,10439 Brighten St SE,,YELM,WA,98597,(509) 993-4545,2016-12-08,2018-12-08,L,Limited Liability Company,01,GENERAL,,,604062072.0,"Pfortmiller, Cenderella Anteni",E,EXPIRED,2017-06-07,True,Flooring,False,https://www.thurstoncountywa.gov/departments/public-health-and-social-services/environmental-health/food-safety/food-safety-look-up,,12TH MAN FLOORING LLC specializes in flooring installation services.,,,,"Flooring Installation, Flooring Repair, Flooring Consultation","Flooring, Flooring Installation",,,,,,,,,,1.0,,,completed,2025-07-23 04:55:26,False,,approved_download,,,,
56,1-800-PLUMBER + AIR,1800PA*771MU,PC,PLUMBING CONTRACTOR,14630 NE 95th ST,,REDMOND,WA,98052,(425) 298-6969,2023-08-01,2027-08-01,L,Limited Liability Company,01,JOURNEY LEVEL,,,605248662.0,"SUPRAMANIAN, RAMANATHAN",A,ACTIVE,,True,Plumbing,False,https://1800plumber.com/,,"1-800-Plumber +Air is an industry-leading Plumbing and HVAC company focused on providing fast, dependable services for plumbing, heating, and cooling needs.",,,,"Plumbing Services, Cooling Services, Heating Services, Emergency Services","Plumbing, Plumbing and HVAC Services",,,,,,,,,,1.0,,,completed,2025-07-23 03:18:06,False,,approved_download,,,,
328,2 GUYS PLUMBING LLC,2GUYSGP820JD,CC,CONSTRUCTION CONTRACTOR,PO BOX 1386,,CASTLE ROCK,WA,98611,(360) 747-9205,2018-04-04,2022-04-04,L,Limited Liability Company,AD,PLUMBING,,,604265404.0,"VEACH, JONATHAN JAMES",R,RE-LICENSED,2022-03-01,True,Plumbing,False,https://www.2guysplumbing.com/drain-cleaning,,"2 Guys Plumbing provides high-quality plumbing services, specializing in drain cleaning and resolving clogged drain issues for the local community.",,,,"Drain Cleaning, Clogged Drain Service","Plumbing, Drain Cleaning",,,,,,,,,,1.0,,,completed,2025-07-23 18:18:54,False,,approved_download,,,,
376,206 ELECTRIC LLC,206ELEL762NM,EC,ELECTRICAL CONTRACTOR,109 198TH ST SE,,BOTHELL,WA,98012,(206) 877-2759,2024-08-14,2026-08-14,L,Limited Liability Company,02,RESIDENTIAL,,,605501341.0,"POGOSYAN, SERGEY",A,ACTIVE,,,Electrical,False,https://ibew46.com/resource-library/signatories/,,"206 ELECTRIC LLC is an electrical contractor based in Bothell, WA, specializing in electrical services.",,,,"Electrical installation, Electrical repair, Residential electrical services, Commercial electrical services","Electrical, Electrical Contractor",,,,,,,,,,1.0,,,completed,2025-07-23 18:23:58,False,,approved_download,,,,
336,2 PALMS DECORATIVE CNCRT LLC,2PALMPD840L3,CC,CONSTRUCTION CONTRACTOR,1309 S GREAT BLUE RD,,RIDGEFIELD,WA,98642,(360) 693-7866,2016-06-23,2027-02-05,L,Limited Liability Company,01,GENERAL,,,604000004.0,"SOWDERS, TIMMOTHY MARTIN",A,ACTIVE,,True,Concrete,False,https://www.2palmsdc.com/,,"2 Palms Decorative Concrete LLC specializes in polishing, cleaning, maintenance, and restoration of decorative concrete surfaces, with over 40 years of experience in the industry.",,,,"Polishing, Cleaning, Maintenance, Restoration, Decorative Overlay System, Stamped Overlays","Concrete, Decorative Concrete Flooring",,,,,,,,,,1.0,,,completed,2025-07-23 18:19:51,False,,approved_download,,,,
237,1ST CHOICE LANDSCAPING,1STCHCL857MG,CC,CONSTRUCTION CONTRACTOR,13021 JORDAN TRAILS RD,,ARLINGTON,WA,98223,(360) 999-8926,2015-07-07,2019-07-27,I,Individual,01,GENERAL,,,602864335.0,"GONZALEZ, JOSE JUAN",R,RE-LICENSED,,True,Landscaping,False,https://1stchoicelandscapinginc.com/,,"1st Choice Landscaping Inc excels in a full suite of landscaping services, including lawn care, snow removal, and more.",,,,"Lawn mowing, Fertilizing, Trimming shrubs, Irrigation system installation, Snow removal","Landscaping, Lawn Care and Maintenance",,,,,,,,,,1.0,,,completed,2025-07-23 05:28:35,False,,approved_download,,,,
