business_name,phone_number,address_line_1,address2,city,state,zip_code,website_url,confidence_score,is_home_contractor,mailer_category,processing_status,last_processed
1UP FLOORS LLC,(253) 292-6775,PO BOX 2044,,SUMNER,WA,,https://www.1upfloors.com,1.0,True,Flooring,completed,2025-07-23 18:17:17
1ST CHOICE PAINTING LLP,(253) 548-6183,17728 140TH AVE E,,PUYALLUP,WA,,https://1st.net,1.0,,Painting,completed,2025-07-23 05:28:52
1ST GENERATION ELECTRIC LLC,(206) 910-1212,1207 N LANDING WAY # 1075,,RENTON,WA,,https://1st.net,1.0,,Electrical,completed,2025-07-23 05:30:40
2-SHEA'S PAINTING LLC,(360) 649-3783,P.O. Box 44,,TRACYTON,WA,,https://www.2sheaspainting.com/,1.0,True,Painting,completed,2025-07-23 18:21:42
12TH MAN FLOORING LLC,(509) 993-4545,10439 Brighten St SE,,YELM,WA,,https://www.thurstoncountywa.gov/departments/public-health-and-social-services/environmental-health/food-safety/food-safety-look-up,1.0,True,Flooring,completed,2025-07-23 04:55:26
1-800-PLUMBER + AIR,(425) 298-6969,14630 NE 95th ST,,REDMOND,WA,,https://1800plumber.com/,1.0,True,Plumbing,completed,2025-07-23 03:18:06
2 GUYS PLUMBING LLC,(360) 747-9205,PO BOX 1386,,CASTLE ROCK,WA,,https://www.2guysplumbing.com/drain-cleaning,1.0,True,Plumbing,completed,2025-07-23 18:18:54
206 ELECTRIC LLC,(206) 877-2759,109 198TH ST SE,,BOTHELL,WA,,https://ibew46.com/resource-library/signatories/,1.0,,Electrical,completed,2025-07-23 18:23:58
2 PALMS DECORATIVE CNCRT LLC,(360) 693-7866,1309 S GREAT BLUE RD,,RIDGEFIELD,WA,,https://www.2palmsdc.com/,1.0,True,Concrete,completed,2025-07-23 18:19:51
1ST CHOICE LANDSCAPING,(360) 999-8926,13021 JORDAN TRAILS RD,,ARLINGTON,WA,,https://1stchoicelandscapinginc.com/,1.0,True,Landscaping,completed,2025-07-23 05:28:35
1ST CHANCE ELECTRIC INC,(509) 475-9175,6218 E 37TH AVE,,SPOKANE,WA,,https://1st.net,1.0,,Electrical,completed,2025-07-23 05:27:17
