id,business_name,phone_number,address1,address2,city,state,zip,website_url,confidence_score,is_home_contractor,mailer_category,contractor_license_type_code_desc,processing_status,last_processed
289,1UP FLOORS LLC,(253) 292-6775,PO BOX 2044,,SUMNER,WA,98390,https://www.1upfloors.com,1.0,True,Flooring,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:17:17
241,1ST CHOICE PAINTING LLP,(253) 548-6183,17728 140TH AVE E,,PUYALLUP,WA,98374,https://1st.net,1.0,,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 05:28:52
265,1ST GENERATION ELECTRIC LLC,(206) 910-1212,1207 N LANDING WAY # 1075,,RENTON,WA,98057,https://1st.net,1.0,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 05:30:40
356,2-SHEA'S PAINTING LLC,(360) 649-3783,P.O. Box 44,,TRACYTON,WA,983930044,https://www.2sheaspainting.com/,1.0,True,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:21:42
133,12TH MAN FLOORING LLC,(509) 993-4545,10439 Brighten St SE,,YELM,WA,98597,https://www.thurstoncountywa.gov/departments/public-health-and-social-services/environmental-health/food-safety/food-safety-look-up,1.0,True,Flooring,CONSTRUCTION CONTRACTOR,completed,2025-07-23 04:55:26
56,1-800-PLUMBER + AIR,(425) 298-6969,14630 NE 95th ST,,REDMOND,WA,98052,https://1800plumber.com/,1.0,True,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 03:18:06
328,2 GUYS PLUMBING LLC,(360) 747-9205,PO BOX 1386,,CASTLE ROCK,WA,98611,https://www.2guysplumbing.com/drain-cleaning,1.0,True,Plumbing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:18:54
376,206 ELECTRIC LLC,(206) 877-2759,109 198TH ST SE,,BOTHELL,WA,98012,https://ibew46.com/resource-library/signatories/,1.0,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 18:23:58
336,2 PALMS DECORATIVE CNCRT LLC,(360) 693-7866,1309 S GREAT BLUE RD,,RIDGEFIELD,WA,98642,https://www.2palmsdc.com/,1.0,True,Concrete,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:19:51
237,1ST CHOICE LANDSCAPING,(360) 999-8926,13021 JORDAN TRAILS RD,,ARLINGTON,WA,98223,https://1stchoicelandscapinginc.com/,1.0,True,Landscaping,CONSTRUCTION CONTRACTOR,completed,2025-07-23 05:28:35
218,1ST CHANCE ELECTRIC INC,(509) 475-9175,6218 E 37TH AVE,,SPOKANE,WA,99223,https://1st.net,1.0,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 05:27:17
345,2 SONS PLUMBING,(206) 736-6300,106 FRONTAGE RD N,,PACIFIC,WA,98047,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,1.0,True,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 18:20:48
200,1LIFE CONSTRUCTION INC,(206) 676-2192,12345 LAKE CITY WAY #311,,SEATTLE,WA,98125,https://thepipedr.com/12345-lake-city-way-ne-ste-311-seattle-wa-98125/,1.0,True,Plumbing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 05:17:43
400,21st Century Electric LLC,(509) 670-1724,796 N Grover PL,,EAST WENATCHEE,WA,98802,https://www.chelanpud.org/environment/solar-power,1.0,True,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 18:28:17
216,1ST CALL PLUMBING & HTG LLC,(253) 244-4325,6817 27TH ST W,#65761,TACOMA,WA,98466,https://1st.net,1.0,,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 05:27:10
259,1ST CLASS PAVING,(360) 202-5200,16821 SMOKEY POINT BLVD,APT 213,ARLINGTON,WA,98223,https://www.a1asphaltpc.com/,1.0,True,Concrete,CONSTRUCTION CONTRACTOR,completed,2025-07-23 17:57:30
77,101 ROOF CLEANING,(360) 531-3321,109 SOUTHWESTERN PL,,SEQUIM,WA,98382,https://nextdoor.com/pages/101-roof-cleaning-port-townsend-wa/,1.0,True,Roofing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:07
47,1-2-3 CONSTRUCTION LLC,(360) 720-1125,2265 Aviator Ln,,OAK HARBOR,WA,98277,https://www.1-2-3construction.com/,1.0,True,Kitchen & Bath,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:17:26
375,206 CREW LLC,(206) 458-3780,PO BOX 31039,,SEATTLE,WA,98103,https://www.sledgeseattle.com/,1.0,True,Demolition,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:23:50
43,1 TOM PLUMBER,(509) 727-3413,6250 W CLEARWATER AVE STE 101,,KENNEWICK,WA,99336,https://www.1tomplumber.com/tri-cities/,1.0,True,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 03:17:15
387,20th Century Contracting,(360) 606-8451,2417 NE 102nd St.,,VANCOUVER,WA,98686,https://www.20thcenturyroofing.com/,1.0,True,Roofing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:25:15
281,1ST RESPONSE PLUMBING,(509) 847-8372,9917 N EDNA ST,,SPOKANE,WA,99208,https://1stresponseplumbing.com,1.0,True,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 18:16:03
271,1ST PLACE STRIPING,(425) 357-8249,13612 60TH AVE SE,,EVERETT,WA,98208,http://www.1stplacestriping.com/services.cfm,1.0,False,Concrete,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:15:41
81,10733 MERIDIAN AVE NE LLC,(425) 290-2755,6501 EAGLE ROCK NE,STE B5,ALBUQUERQUE,NM,87113,https://www.10733meridianavene.com,1.0,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:32
351,2 THE T EXTERIOR LLC,(206) 504-0518,27408 129TH PL SE,,KENT,WA,98030,https://www.2thetexterior.com,1.0,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:21:37
278,1ST RATE CONST & DRN WZD INC,(253) 347-7015,4227 S MERIDAN STE C#209,,PUYALLUP,WA,98373,https://www.1strateconstanddrnwzd.com,1.0,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:16:56
