business_name,phone_number,address1,address2,city,state,website_url,confidence_score,is_home_contractor,mailer_category
1UP FLOORS LLC,(253) 292-6775,PO BOX 2044,,SUMNER,WA,https://www.1upfloors.com,1.0,True,Flooring
1ST CHOICE PAINTING LLP,(253) 548-6183,17728 140TH AVE E,,PUYALLUP,WA,https://1st.net,1.0,,Painting
1ST GENERATION ELECTRIC LLC,(206) 910-1212,1207 N LANDING WAY # 1075,,RENTON,WA,https://1st.net,1.0,,Electrical
2-SHEA'S PAINTING LLC,(360) 649-3783,P.O. Box 44,,TRACYTON,WA,https://www.2sheaspainting.com/,1.0,True,Painting
12TH MAN FLOORING LLC,(509) 993-4545,10439 Brighten St SE,,YELM,WA,https://www.thurstoncountywa.gov/departments/public-health-and-social-services/environmental-health/food-safety/food-safety-look-up,1.0,True,Flooring
1-800-PLUMBER + AIR,(425) 298-6969,14630 NE 95th ST,,REDMOND,WA,https://1800plumber.com/,1.0,True,Plumbing
2 GUYS PLUMBING LLC,(360) 747-9205,PO BOX 1386,,CASTLE ROCK,WA,https://www.2guysplumbing.com/drain-cleaning,1.0,True,Plumbing
206 ELECTRIC LLC,(206) 877-2759,109 198TH ST SE,,BOTHELL,WA,https://ibew46.com/resource-library/signatories/,1.0,,Electrical
2 PALMS DECORATIVE CNCRT LLC,(360) 693-7866,1309 S GREAT BLUE RD,,RIDGEFIELD,WA,https://www.2palmsdc.com/,1.0,True,Concrete
1ST CHOICE LANDSCAPING,(360) 999-8926,13021 JORDAN TRAILS RD,,ARLINGTON,WA,https://1stchoicelandscapinginc.com/,1.0,True,Landscaping
1ST CHANCE ELECTRIC INC,(509) 475-9175,6218 E 37TH AVE,,SPOKANE,WA,https://1st.net,1.0,,Electrical
2 SONS PLUMBING,(206) 736-6300,106 FRONTAGE RD N,,PACIFIC,WA,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,1.0,True,Plumbing
1LIFE CONSTRUCTION INC,(206) 676-2192,12345 LAKE CITY WAY #311,,SEATTLE,WA,https://thepipedr.com/12345-lake-city-way-ne-ste-311-seattle-wa-98125/,1.0,True,Plumbing
21st Century Electric LLC,(509) 670-1724,796 N Grover PL,,EAST WENATCHEE,WA,https://www.chelanpud.org/environment/solar-power,1.0,True,Electrical
1ST CALL PLUMBING & HTG LLC,(253) 244-4325,6817 27TH ST W,#65761,TACOMA,WA,https://1st.net,1.0,,Plumbing
1ST CLASS PAVING,(360) 202-5200,16821 SMOKEY POINT BLVD,APT 213,ARLINGTON,WA,https://www.a1asphaltpc.com/,1.0,True,Concrete
101 ROOF CLEANING,(360) 531-3321,109 SOUTHWESTERN PL,,SEQUIM,WA,https://nextdoor.com/pages/101-roof-cleaning-port-townsend-wa/,1.0,True,Roofing
1-2-3 CONSTRUCTION LLC,(360) 720-1125,2265 Aviator Ln,,OAK HARBOR,WA,https://www.1-2-3construction.com/,1.0,True,Kitchen & Bath
206 CREW LLC,(206) 458-3780,PO BOX 31039,,SEATTLE,WA,https://www.sledgeseattle.com/,1.0,True,Demolition
1 TOM PLUMBER,(509) 727-3413,6250 W CLEARWATER AVE STE 101,,KENNEWICK,WA,https://www.1tomplumber.com/tri-cities/,1.0,True,Plumbing
20th Century Contracting,(360) 606-8451,2417 NE 102nd St.,,VANCOUVER,WA,https://www.20thcenturyroofing.com/,1.0,True,Roofing
1ST RESPONSE PLUMBING,(509) 847-8372,9917 N EDNA ST,,SPOKANE,WA,https://1stresponseplumbing.com,1.0,True,Plumbing
1ST PLACE STRIPING,(425) 357-8249,13612 60TH AVE SE,,EVERETT,WA,http://www.1stplacestriping.com/services.cfm,1.0,False,Concrete
10733 MERIDIAN AVE NE LLC,(425) 290-2755,6501 EAGLE ROCK NE,STE B5,ALBUQUERQUE,NM,https://www.10733meridianavene.com,1.0,,Handyman
2 THE T EXTERIOR LLC,(206) 504-0518,27408 129TH PL SE,,KENT,WA,https://www.2thetexterior.com,1.0,,Handyman
1ST RATE CONST & DRN WZD INC,(253) 347-7015,4227 S MERIDAN STE C#209,,PUYALLUP,WA,https://www.1strateconstanddrnwzd.com,1.0,,Handyman
1 STUMP AT A TIME,(206) 354-9491,14918 39th Ave NW,"Stanwood, Wa.",Stanwood,WA,https://www.1stumpatatime.net,1.0,True,Landscaping
206PAINTERS LLC,(206) 419-0991,8828 218th St SW,,Edmonds,WA,https://www.206painters.com,1.0,,Painting
12 MOONS LLC,(360) 909-6051,3900 NE 82ND STREET,,VANCOUVER,WA,https://www.12moons.com,1.0,,General Contracting
1 RV PAINTING & RMDLNG LLC,(206) 602-0148,660 SW 132ND ST,,BURIEN,WA,https://www.1rvpaintingandrmdlng.com,1.0,True,Painting
101 Pest Control LLC,(360) 670-3085,P O BOX 548,,CARLSBORG,WA,https://www.101pestcontrol.com,1.0,True,Pest Control
1ST RESPONSE HTG/AIR SLTNS LLC,(206) 643-1525,1731 113th Drive Southeast,,LAKE STEVENS,WA,https://www.1stresponsehtgairsltns.com,1.0,True,HVAC
1ST PLACE CONCRETE LLC,(509) 302-5679,209903 E 315 PRSE,,KENNEWICK,WA,https://www.1stplaceconcrete.com,1.0,,Concrete
2 AMIGOS ROOFING LLC,(509) 834-9739,402 S. 9TH AVE,,YAKIMA,WA,https://www.2amigosroofing.com,1.0,,Roofing
2 COATS PAINTING LLC,(360) 601-2730,12612 NE 26TH ST,,VANCOUVER,WA,https://www.2coatspainting.com,1.0,True,Painting
1 HANDY MAN SRVC/DSGN LLC,(425) 314-4393,3009 184TH PL NE,,ARLINGTON,WA,https://www.1handymansrvcdsgn.com,1.0,True,Handyman
#1 AQUA MATTERS,(206) 931-2595,8825 34TH AVE NE #L413,,MARYSVILLE,WA,https://www.1aquamatters.net,1.0,,Plumbing
20/20 EXTERIORS,(509) 688-4480,914 N COUNTRY CLUB DRIVE,,DEER PARK,WA,https://www.2020exteriors.net,1.0,True,Roofing
10X20 PERFORMANCE FBRCTN LLC,(509) 619-2024,502 E VINEYARD DR,Suite A,PASCO,WA,https://www.10x20performancefbrctn.com,1.0,,Metal Fabrication
@HOME ESSENTIAL SERVICES LLC,(360) 919-6806,2950 NEWMARKET ST  STE 101-285,,BELLINGHAM,WA,https://www.homeessentialservices.com,1.0,True,Handyman
1 CHANCE CONCRETE & LNDSNG LLC,(360) 451-7021,1504 Judd St,,OLYMPIA,WA,https://www.1chanceconcreteandlndsng.com,1.0,,Concrete
1002 COATINGS & CONST LLC,(253) 678-1806,PO BOX 1445,,SUMNER,WA,https://www.1002coatingsandconst.com,1.0,,Painting
2 BROTHERS CONTRACTING LLC,(360) 909-2265,7017 NE 124TH AVE,,VANCOUVER,WA,https://www.2brotherscontracting.com,1.0,True,Roofing
1-800 PLUMBER & AIR PACIFIC NW,(503) 676-3449,9735 SW SUNSHINE CT ST 100,,BEAVERTON,OR,https://1800plumber.com/portland-or/,1.0,True,Plumbing
1STOP INTERIOR,(360) 676-6034,345 Ohio St,,BELLINGHAM,WA,https://www.1stopinterior.net,1.0,True,Flooring
1-2-3 PLUMBING LLC,(253) 882-4845,8115 18TH AVE CT E,,TACOMA,WA,https://www.123plumbing.com,1.0,,Plumbing
