id,business_name,contractor_license_number,contractor_license_type_code,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,license_effective_date,license_expiration_date,business_type_code,business_type_code_desc,specialty_code1,specialty_code1_desc,specialty_code2,specialty_code2_desc,ubi,primary_principal_name,status_code,contractor_license_status,contractor_license_suspend_date,is_home_contractor,mailer_category,priority_category,website_url,website_status,business_description,tagline,established_year,years_in_business,services_offered,service_categories,specializations,website_email,website_phone,physical_address,residential_focus,commercial_focus,emergency_services,free_estimates,warranty_offered,confidence_score,classification_confidence,website_confidence,processing_status,last_processed,manual_review_needed,manual_review_reason,review_status,reviewed_by,reviewed_at
375,206 CREW LLC,206CRCL775C4,CC,CONSTRUCTION CONTRACTOR,PO BOX 31039,,SEATTLE,WA,98103,(206) 458-3780,2023-02-24,2027-03-26,L,Limited Liability Company,01,GENERAL,,,605035528,"PANDHER, SIMRANJIT SINGH",A,ACTIVE,,True,Demolition,False,https://www.sledgeseattle.com/,,"Sledge Seattle LLC provides safe, eco-friendly demolition services, specializing in deconstruction to salvage materials and minimize waste.",,,,"Deconstruction, Demolition, Board-Up Services, Partial Demolition","Demolition, Deconstruction",,,,,,,,,,1.00,,,completed,2025-07-23 18:23:50,False,,approved_download,,
343,2 SONS PLUMBING,2SONSSP757D5,EC,ELECTRICAL CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,2025-04-10,2027-04-10,L,Limited Liability Company,01,GENERAL,,,604877465,"BOVAN, ROWDY",A,ACTIVE,,True,Plumbing,False,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,,"2 Sons Plumbing is a local plumbing company in Pacific, WA, offering a range of plumbing services for both residential and commercial clients.",,,,"Plumbing Services, Heating Services, Cooling Services, Drain Cleaning, Excavation, Furnace Repair, Heat Pump Services, Leak Repair, Sewer Repair, Water Heater Services, Water Line Re-piping","Plumbing, Plumbing Services",,,,,,,,,,1.00,,,completed,2025-07-23 18:20:34,False,,approved_download,,
387,20th Century Contracting,20THCCC860B4,CC,CONSTRUCTION CONTRACTOR,2417 NE 102nd St.,,VANCOUVER,WA,98686,(360) 606-8451,2014-01-24,2026-02-24,P,Partnership,01,GENERAL,,,603493036,"Short, Mark Leon",A,ACTIVE,,True,Roofing,False,https://www.20thcenturyroofing.com/,,"20th Century Contracting is a family-owned business specializing in roofing and remodeling services in Vancouver, WA, and surrounding areas.",,,,"New Roofing, Roof Repairs, Roof Inspections, Roof Remodeling, Commercial Roofing, Residential Roofing, Windows Replacement, Doors Installation, Home Remodeling, Decks and Fences Construction","Roofing, Roofing Contractor",,,,,,,,,,1.00,,,completed,2025-07-23 18:25:15,False,,approved_download,,
400,21st Century Electric LLC,21STCCE901QA,EC,ELECTRICAL CONTRACTOR,796 N Grover PL,,EAST WENATCHEE,WA,98802,(509) 670-1724,2010-11-15,2026-12-21,L,Limited Liability Company,01,GENERAL,,,603057815,"JONES, MARTIN",A,ACTIVE,,True,Electrical,False,https://www.chelanpud.org/environment/solar-power,,21st Century Electric is an electrical contracting organization that specializes in all aspects of the electrical trade.,,,,,"Electrical, Electrical Contracting",,,,,,,,,,1.00,,,completed,2025-07-23 18:28:17,False,,approved_download,,
44,1 TOM PLUMBER STTL & GRTR ES,1TOMPTP761D5,PC,PLUMBING CONTRACTOR,20109 144TH AVENUE NE,,WOODINVILLE,WA,98072,(425) 256-3408,2024-03-25,2026-03-25,L,Limited Liability Company,01,JOURNEY LEVEL,,,605283331,"HAWKINS, CRAIG VICTOR",A,ACTIVE,,True,Plumbing,False,https://us.nextdoor.com/pages/1-tom-plumber-woodinville-wa/,,"1-Tom-Plumber is a full-service plumbing and drain cleaning company, available 24/7/365 for both residential and commercial needs. We are committed to providing reliable, responsive plumbing care with a focus on customer satisfaction.",,,,"Emergency plumbing, Drain cleaning, Leak repair, Stubborn drain clearing","Plumbing, Emergency Plumbing Services",,,,,,,,,,1.00,,,completed,2025-07-23 03:17:26,False,,approved_download,,
131,12TH HANDYMAN,12THHH*787P5,CC,CONSTRUCTION CONTRACTOR,5706 17TH AVE NW,UNIT 17346,SEATTLE,WA,98127,(707) 364-3996,2022-10-25,2026-10-25,L,Limited Liability Company,01,GENERAL,,,604977191,"BAKER, REGINALDO CASANOVA",A,ACTIVE,,True,Handyman,False,https://www.12thhandyman.com/,,"12th Handyman provides expert maintenance and repair services for both residential and commercial clients in Seattle, WA, with a commitment to quality craftsmanship.",,,,"General and Building Repair, Assembly and Installation, Interior/Exterior Painting, Shed Installation, Punch Lists, Groundskeeping, Marine Detailing, Repair/Replace","Handyman, General Repair Services",,,,,,,,,,1.00,,,completed,2025-07-23 04:54:45,False,,approved_download,,
402,222 ELECTRIC CO,222ELEC859RN,EC,ELECTRICAL CONTRACTOR,11806 221ST AVE E,,BONNEY LAKE,WA,98391,(253) 222-4605,2015-12-15,2025-12-15,C,Corporation,01,GENERAL,,,603556873,"ROACH, MARK T",S,SUSPENDED,2024-10-28,True,Electrical,False,https://www.seattlelighting.com/,,"222 Electric Co is a reputable electrical company based in Bonney Lake, WA, providing electrical services.",,,,,"Electrical, Electrical Contractor",,,,,,,,,,1.00,,,completed,2025-07-23 18:28:24,False,,approved_download,,
176,180 ELECTRIC LLC,180ELEL945NW,EC,ELECTRICAL CONTRACTOR,12123 E. Grace Ave.,,SPOKANE VALLEY,WA,99206,(509) 475-1350,2006-08-16,2018-10-02,L,Limited Liability Company,01,GENERAL,,,602628590,"BARNESE, THOMAS J II",O,OUT OF BUSINESS,,,Electrical,False,https://www.spokanevalleyed.org/DocumentCenter/View/2374,,"180 ELECTRIC LLC is an electrical contractor based in Spokane Valley, WA, specializing in electrical services.",,,,"Electrical installation, Electrical repair, Wiring services, Lighting installation","Electrical, Electrical Contractor",,,,,,,,,,1.00,,,completed,2025-07-23 04:57:53,False,,approved_download,,
145,13THIRTYSEVEN ELECTRIC LLC,13THIEL760KL,EC,ELECTRICAL CONTRACTOR,7711 EASY ST,,EVERETT,WA,98203,(425) 830-7342,2024-05-13,2026-05-13,L,Limited Liability Company,01,GENERAL,,,605267913,"Weber, Andrew D",A,ACTIVE,,,Electrical,False,https://archive.org/stream/NewsUK1977UKEnglish/Jan%2014%201977%2C%20The%20Times%2C%20%2359907%2C%20UK%20%28en%29_djvu.txt,,"13THIRTYSEVEN ELECTRIC LLC is a licensed electrical contractor based in Everett, WA, specializing in electrical services.",,,,"Electrical installations, Electrical repairs, Wiring services, Lighting installations","Electrical, Electrical Contractor",,,,,,,,,,1.00,,,completed,2025-07-23 04:55:51,False,,approved_download,,
56,1-800-PLUMBER + AIR,1800PA*771MU,PC,PLUMBING CONTRACTOR,14630 NE 95th ST,,REDMOND,WA,98052,(425) 298-6969,2023-08-01,2027-08-01,L,Limited Liability Company,01,JOURNEY LEVEL,,,605248662,"SUPRAMANIAN, RAMANATHAN",A,ACTIVE,,True,Plumbing,False,https://1800plumber.com/,,"1-800-Plumber +Air is an industry-leading Plumbing and HVAC company focused on providing fast, dependable services for plumbing, heating, and cooling needs.",,,,"Plumbing Services, Cooling Services, Heating Services, Emergency Services","Plumbing, Plumbing and HVAC Services",,,,,,,,,,1.00,,,completed,2025-07-23 03:18:06,False,,approved_download,,
