id,business_name,phone_number,address_line_1,city,state,zip_code,website_url,confidence_score,is_home_contractor,mailer_category,contractor_license_type_code_desc,processing_status,last_processed
145,13THIRTYSEVEN ELECTRIC LLC,(425) 830-7342,,EVERETT,WA,,https://archive.org/stream/NewsUK1977UKEnglish/Jan%2014%201977%2C%20The%20Times%2C%20%2359907%2C%20UK%20%28en%29_djvu.txt,1.00,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 04:55:51
9,$100 OVER COST PAINTING CO LLC,(509) 598-9842,,SPOKANE,WA,,https://www.100overcostpaintingco.com,1.00,,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 02:35:15
402,222 ELECTRIC CO,(253) 222-4605,,BONNEY LAKE,WA,,https://www.seattlelighting.com/,1.00,True,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 18:28:24
30,1 FOUNDATION,(253) 335-8991,,MILTON,WA,,https://www.1foundation.net,1.00,,Concrete,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:16:37
86,10X20 PERFORMANCE FBRCTN LLC,(509) 619-2024,,PASCO,WA,,https://www.10x20performancefbrctn.com,1.00,,Metal Fabrication,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:47
5,#1 PRO POWER WASHING SERVICES,(435) 260-9855,,SEATTLE,WA,,https://www.1propowerwashingservices.net,1.00,True,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:12:18
63,10 PENNY HOMES LLC,(425) 218-5276,,EVERETT,WA,,https://www.10pennyhomes.com,1.00,True,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:27
79,101 WEST LLC,(425) 329-8202,,SNOHOMISH,WA,,https://www.101west.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:04
34,1 NEW MECHANICAL LLC,(425) 326-7551,,SNOHOMISH,WA,,https://www.1newmechanical.com,1.00,,HVAC,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:17:09
78,101 ROOFING LANDSCAPING,(360) 204-3502,,POULSBO,WA,,https://www.101roofinglandscaping.com,1.00,True,Roofing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:25
379,206 FLOORING LLC,(425) 802-1752,,REDMOND,WA,,https://www.206flooring.com,1.00,,Flooring,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:24:19
376,206 ELECTRIC LLC,(206) 877-2759,,BOTHELL,WA,,https://ibew46.com/resource-library/signatories/,1.00,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 18:23:58
31,1 HANDY MAN SRVC/DSGN LLC,(425) 314-4393,,ARLINGTON,WA,,https://www.1handymansrvcdsgn.com,1.00,True,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:16:44
245,1ST CHOICE PLUMBING INC,(425) 750-7013,,EVERETT,WA,,https://1st-choice-plumbing.com,1.00,True,Plumbing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 05:29:09
16,+1 HAMMER LLC,(509) 679-2915,,WENATCHEE,WA,,https://www.1hammer.com,1.00,,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:16:04
309,2 COATS PAINTING LLC,(360) 601-2730,,VANCOUVER,WA,,https://www.2coatspainting.com,1.00,True,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:18:12
110,12 MOONS LLC,(360) 909-6051,,VANCOUVER,WA,,https://www.12moons.com,1.00,,General Contracting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:48
57,1-800-STRIPER OF BELLEVUE,(425) 532-5401,,KIRKLAND,WA,,https://1800striper.com/striper-of-bellevue/,1.00,False,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:17:58
244,1ST CHOICE PLUMBING INC,(425) 876-8015,,EVERETT,WA,,https://1st-choice-plumbing.com,1.00,True,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 05:29:00
59,1-A CONSTRUCTION & FIRE LLP,(541) 567-5730,,HERMISTON,OR,,https://www.1aconstructionandfirellp.com,1.00,,Excavation,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:15
105,12 DECKS & FENCES LLC,(206) 487-6747,,Snohomish,WA,,https://12decks.vercel.app/,1.00,True,Fencing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:36
82,108 Contractors,(253) 347-7547,,FEDERAL WAY,WA,,https://www.108contractors.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:32
90,11043 PALATINE AVE N LLC,(425) 212-2210,,EVERETT,WA,,https://www.11043palatineaven.com,1.00,True,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:56
108,12 GENERAL HANDYMAN,(253) 391-9545,,LAKEWOOD,WA,,https://www.12generalhandyman.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:50
61,1-UP CONTRACTING,(360) 349-6099,,TUMWATER,WA,,https://www.1upcontracting.net,1.00,True,Insulation,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:19
62,10 PENNY CONSTRUCTION,(509) 699-6534,,WENATCHEE,WA,,https://www.10pennyconstruction.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:21
64,10 POINT CONSTRUCTION SRVS LLC,(253) 861-4544,,TACOMA,WA,,https://www.10pointconstructionsrvs.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:31
66,10 STAR PAINTING LLC,(206) 914-6434,,AUBURN,WA,,https://www.10starpainting.com,1.00,,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:34
19,@ YOUR SERVICE HOME APPL RPR,(425) 814-9462,,KIRKLAND,WA,,https://www.yourservicehomeapplrpr.net,1.00,True,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 03:16:11
67,10/Zero5 General Contr LLC,(509) 539-2907,,PASCO,WA,,https://www.10zero5generalcontr.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:38
68,100 Oaks Nrsy Lndscp/Grdn Srvs,(360) 789-0873,,OLYMPIA,WA,,https://www.100oaksnrsylndscpgrdnsrvs.net,1.00,True,Landscaping,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:45
76,101 Pest Control LLC,(360) 670-3085,,CARLSBORG,WA,,https://www.101pestcontrol.com,1.00,True,Pest Control,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:25
242,1st Choice Plumbing & Rep. LLC,(509) 895-4035,,SELAH,WA,,https://1st.net,1.00,,Plumbing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 05:28:49
241,1ST CHOICE PAINTING LLP,(253) 548-6183,,PUYALLUP,WA,,https://1st.net,1.00,,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 05:28:52
70,100% PAINTING LLC,(360) 878-4206,,TENINO,WA,,https://www.100painting.com,1.00,True,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:51
11,& BUILD,(206) 271-1267,,SEATTLE,WA,,https://www.andbuild.net,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:12:20
298,2 BROTHERS CONCRETE LLC,(206) 941-8858,,AUBURN,WA,,https://www.2brothersconcrete.org/,1.00,True,Concrete,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:17:37
80,1040WINDOWREMODELING L L C,(971) 777-5107,,VANCOUVER,WA,,https://www.1040windowremodelingllc.net,1.00,True,Windows & Doors,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:25
225,1ST CHOICE CONSTRUCTION INC,(253) 569-4588,,Algona,WA,,https://1stchoicehomeconstruction.com/,1.00,True,Roofing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 05:27:48
218,1ST CHANCE ELECTRIC INC,(509) 475-9175,,SPOKANE,WA,,https://1st.net,1.00,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 05:27:17
292,2 AMIGOS ROOFING LLC,(509) 834-9739,,YAKIMA,WA,,https://www.2amigosroofing.com,1.00,,Roofing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:17:25
411,23RD ST GARDENING & DESIGN,(425) 335-5287,,ANACORTES,WA,,https://www.23rdstgardeninganddesign.net,1.00,True,Landscaping,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:29:11
92,11202 LLC,(206) 797-9700,,MERCER ISLAND,WA,,https://www.11202.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:04
81,10733 MERIDIAN AVE NE LLC,(425) 290-2755,,ALBUQUERQUE,NM,,https://www.10733meridianavene.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:32
49,1-800 PLUMBER & AIR PACIFIC NW,(503) 676-3449,,BEAVERTON,OR,,https://1800plumber.com/portland-or/,1.00,True,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 03:17:35
40,1 STOP REAL ESTATE REHAB LLC,(360) 239-0222,,OLYMPIA,WA,,https://www.1stoprealestaterehab.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:17:09
288,1STOP INTERIOR,(360) 676-6034,,BELLINGHAM,WA,,https://www.1stopinterior.net,1.00,True,Flooring,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:16:12
351,2 THE T EXTERIOR LLC,(206) 504-0518,,KENT,WA,,https://www.2thetexterior.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:21:37
71,1002 COATINGS & CONST LLC,(253) 678-1806,,SUMNER,WA,,https://www.1002coatingsandconst.com,1.00,,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:18:52
97,11336 20TH AVE NE LLC,(425) 212-2210,,EVERETT,WA,,https://www.1133620thavene.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:20
216,1ST CALL PLUMBING & HTG LLC,(253) 244-4325,,TACOMA,WA,,https://1st.net,1.00,,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 05:27:10
98,1134 LAKESIDE SOUTH LLC,(206) 254-5606,,SEATTLE,WA,,https://www.1134lakesidesouth.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:13
101,11737 40TH AVE NE LLC,(425) 344-3048,,SEATTLE,WA,,https://www.1173740thavene.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:22
296,2 BROS FLOORING LLC,(971) 344-7396,,Vancouver,WA,,https://www.2brosflooring.com,1.00,,Flooring,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:17:51
398,21ST CENTURY CONSTRUCTION LLC,(509) 934-8404,,CHEWELAH,WA,,https://www.21stcenturyconstruction.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:27:56
10,$AVER HARDWOOD FLOORS LLC,(206) 372-5166,,RENTON,WA,,https://www.averhardwoodfloors.com,1.00,True,Flooring,CONSTRUCTION CONTRACTOR,completed,2025-07-23 02:35:15
102,11TH HR WELDING  FAB & RPR LLC,(702) 232-6433,,BATTLE GROUND,WA,,https://www.11thhrweldingfabandrpr.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:31
13,(H)ANDYMAN LLC,(206) 963-7622,,SEATTLE,WA,,https://www.handyman.com,1.00,True,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:12:15
104,12 CUSTOM HOMES LLC,(509) 423-4969,,CASHMERE,WA,,https://www.12customhomes.com,1.00,True,Custom Homes,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:48
291,2 A T PAINTING LLC,(360) 840-5052,,OAK HARBOR,WA,,https://www.2atpainting.com,1.00,True,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:17:05
237,1ST CHOICE LANDSCAPING,(360) 999-8926,,ARLINGTON,WA,,https://1stchoicelandscapinginc.com/,1.00,True,Landscaping,CONSTRUCTION CONTRACTOR,completed,2025-07-23 05:28:35
394,212-WLD ABERDOUR LLC,(425) 576-9390,,KIRKLAND,WA,,https://www.212wldaberdour.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:26:40
281,1ST RESPONSE PLUMBING,(509) 847-8372,,SPOKANE,WA,,https://1stresponseplumbing.com,1.00,True,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 18:16:03
113,12 TILE,(206) 422-1359,,Everett,WA,,https://www.12tile.net,1.00,True,Flooring,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:58
7,#1EAGLEREMODELING LLC,(206) 372-8756,,SPANAWAY,WA,,https://www.1eagleremodeling.com,1.00,,,CONSTRUCTION CONTRACTOR,completed,2025-07-23 02:35:15
382,206PAINTERS LLC,(206) 419-0991,,Edmonds,WA,,https://www.206painters.com,1.00,,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:25:08
375,206 CREW LLC,(206) 458-3780,,SEATTLE,WA,,https://www.sledgeseattle.com/,1.00,True,Demolition,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:23:50
1,# JUAN HANDYMAN,(509) 847-9082,,SPOKANE,WA,,https://www.juanhandyman.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:10:51
191,1901-WLD KENMORE 68TH LLC,(425) 576-9390,,KIRKLAND,WA,,https://www.1901wldkenmore68th.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 04:58:31
119,12051 20TH AVE NE LLC,(425) 212-2210,,EVERETT,WA,,https://www.1205120thavene.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 04:54:11
310,2 COATS PAINTING LLC,(360) 601-2730,,VANCOUVER,WA,,https://www.2coatspainting.com,1.00,True,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:18:25
368,2020 Electric Company LLC,(360) 661-1781,,GREENBANK,WA,,https://www.2020electriccompany.com,1.00,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 18:23:32
123,123 Electric Service Inc,(425) 455-2027,,Bellevue,WA,,https://123electricservice.com/,1.00,True,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 04:54:19
364,2003-WLD BRUNTSFIELD LLC,(425) 576-9390,,KIRKLAND,WA,,https://www.2003wldbruntsfield.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:22:58
2,# JUAN HANDYMAN LLC,(509) 847-9082,,Medical Lake,WA,,https://www.juanhandyman.com,1.00,True,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:11:07
176,180 ELECTRIC LLC,(509) 475-1350,,SPOKANE VALLEY,WA,,https://www.spokanevalleyed.org/DocumentCenter/View/2374,1.00,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 04:57:53
131,12TH HANDYMAN,(707) 364-3996,,SEATTLE,WA,,https://www.12thhandyman.com/,1.00,True,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 04:54:45
25,1 CHANCE CONCRETE & LNDSNG LLC,(360) 451-7021,,OLYMPIA,WA,,https://www.1chanceconcreteandlndsng.com,1.00,,Concrete,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:16:35
21,@HOME ESSENTIAL SERVICES LLC,(360) 919-6806,,BELLINGHAM,WA,,https://www.homeessentialservices.com,1.00,True,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:16:01
404,23 CONCRETE LLC,(206) 640-4723,,LAKE FOREST PARK,WA,,https://www.23concrete.com,1.00,,Concrete,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:28:42
362,2001-WLD BRAES PARK LLC,(425) 576-9390,,KIRKLAND,WA,,https://www.2001wldbraespark.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:22:21
94,11210 LLC,(425) 453-8886,,BELLEVUE,WA,,https://www.11210.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:20:13
278,1ST RATE CONST & DRN WZD INC,(253) 347-7015,,PUYALLUP,WA,,https://www.1strateconstanddrnwzd.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:16:56
359,20/20 EXTERIORS,(509) 688-4480,,DEER PARK,WA,,https://www.2020exteriors.net,1.00,True,Roofing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:21:51
17,+SUN TREE SERVICE LLC,(253) 468-0554,,Parkland,WA,,https://www.suntreeservice.com,1.00,True,Landscaping,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:16:09
356,2-SHEA'S PAINTING LLC,(360) 649-3783,,TRACYTON,WA,,https://www.2sheaspainting.com/,1.00,True,Painting,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:21:42
32,1 LEG ENTERPRISES LLC,(509) 378-6926,,KENNEWICK,WA,,https://www.1legenterprises.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:16:42
33,1 MAN & A TRACTOR,(253) 258-4703,,BREMERTON,WA,,https://www.1manandatractor.net,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:16:39
400,21st Century Electric LLC,(509) 670-1724,,EAST WENATCHEE,WA,,https://www.chelanpud.org/environment/solar-power,1.00,True,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 18:28:17
345,2 SONS PLUMBING,(206) 736-6300,,PACIFIC,WA,,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,1.00,True,Plumbing,PLUMBING CONTRACTOR,completed,2025-07-23 18:20:48
399,21ST CENTURY ELECTRIC,(360) 990-5012,,BREMERTON,WA,,https://www.21stcenturyelectric.net,1.00,,Electrical,ELECTRICAL CONTRACTOR,completed,2025-07-23 18:28:08
344,2 SONS PLUMBING,(206) 736-6300,,PACIFIC,WA,,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,1.00,True,Plumbing,CONSTRUCTION CONTRACTOR,completed,2025-07-23 18:20:42
89,110% LLC,(360) 259-7189,,YELM,WA,,https://www.110.com,1.00,,Handyman,CONSTRUCTION CONTRACTOR,completed,2025-07-23 03:19:59
