id,business_name,city,state,phone_number,contractor_license_number,is_home_contractor,mailer_category,website_url,confidence_score,processing_status,last_processed
10,$AVER HARDWOOD FLOORS LLC,RENTON,WA,(206) 372-5166,AVERHHF946CM,True,Flooring,,1.00,completed,2025-07-23 02:35:15
13,(H)ANDYMAN LLC,SEATTLE,WA,(206) 963-7622,HANDYL*845B8,True,Handyman,,1.00,completed,2025-07-23 03:12:15
43,1 TOM PLUMBER,KENNEWICK,WA,(509) 727-3413,1TOMPTP773O8,True,Plumbing,https://www.1tomplumber.com/tri-cities/,1.00,completed,2025-07-23 03:17:15
45,1 WAY ELECTRICAL SERVS LLC,SEATTLE,WA,(206) 694-9024,1WAYEWE761MS,,Electrical,,1.00,completed,2025-07-23 03:17:20
47,1-2-3 CONSTRUCTION LLC,OAK HARBOR,WA,(360) 720-1125,123COCL847CZ,True,Kitchen & Bath,https://www.1-2-3construction.com/,1.00,completed,2025-07-23 03:17:26
44,1 TOM PLUMBER STTL & GRTR ES,WOODINVILLE,WA,(425) 256-3408,1TOMPTP761D5,True,Plumbing,https://us.nextdoor.com/pages/1-tom-plumber-woodinville-wa/,1.00,completed,2025-07-23 03:17:26
49,1-800 PLUMBER & AIR PACIFIC NW,BEAVERTON,OR,(503) 676-3449,1800PPA785KB,True,Plumbing,https://1800plumber.com/portland-or/,1.00,completed,2025-07-23 03:17:35
48,1-2-3 PLUMBING LLC,TACOMA,WA,(253) 882-4845,123PLPL767OF,,Plumbing,,1.00,completed,2025-07-23 03:17:35
57,1-800-STRIPER OF BELLEVUE,KIRKLAND,WA,(425) 532-5401,1800SB*767M5,False,Painting,https://1800striper.com/striper-of-bellevue/,1.00,completed,2025-07-23 03:17:58
56,1-800-PLUMBER + AIR,REDMOND,WA,(425) 298-6969,1800PA*771MU,True,Plumbing,https://1800plumber.com/,1.00,completed,2025-07-23 03:18:06
