business_name,phone_number,city,state,website_url,confidence_score,is_home_contractor,mailer_category
13THIRTYSEVEN ELECTRIC LLC,(425) 830-7342,EVERETT,WA,https://archive.org/stream/NewsUK1977UKEnglish/Jan%2014%201977%2C%20The%20Times%2C%20%2359907%2C%20UK%20%28en%29_djvu.txt,1.000,,Electrical
$100 OVER COST PAINTING CO LLC,(509) 598-9842,SPOKANE,WA,https://www.100overcostpaintingco.com,1.000,,Painting
222 ELECTRIC CO,(253) 222-4605,BONNEY LAKE,WA,https://www.seattlelighting.com/,1.000,True,Electrical
1 FOUNDATION,(253) 335-8991,MILTON,WA,https://www.1foundation.net,1.000,,Concrete
10X20 PERFORMANCE FBRCTN LLC,(509) 619-2024,PASCO,WA,https://www.10x20performancefbrctn.com,1.000,,Metal Fabrication
#1 PRO POWER WASHING SERVICES,(435) 260-9855,SEATTLE,WA,https://www.1propowerwashingservices.net,1.000,True,Handyman
10 PENNY HOMES LLC,(425) 218-5276,EVERETT,WA,https://www.10pennyhomes.com,1.000,True,Handyman
101 WEST LLC,(425) 329-8202,SNOHOMISH,WA,https://www.101west.com,1.000,,Handyman
1 NEW MECHANICAL LLC,(425) 326-7551,SNOHOMISH,WA,https://www.1newmechanical.com,1.000,,HVAC
101 ROOFING LANDSCAPING,(360) 204-3502,POULSBO,WA,https://www.101roofinglandscaping.com,1.000,True,Roofing
206 FLOORING LLC,(425) 802-1752,REDMOND,WA,https://www.206flooring.com,1.000,,Flooring
206 ELECTRIC LLC,(206) 877-2759,BOTHELL,WA,https://ibew46.com/resource-library/signatories/,1.000,,Electrical
1 HANDY MAN SRVC/DSGN LLC,(425) 314-4393,ARLINGTON,WA,https://www.1handymansrvcdsgn.com,1.000,True,Handyman
1ST CHOICE PLUMBING INC,(425) 750-7013,EVERETT,WA,https://1st-choice-plumbing.com,1.000,True,Plumbing
+1 HAMMER LLC,(509) 679-2915,WENATCHEE,WA,https://www.1hammer.com,1.000,,Painting
2 COATS PAINTING LLC,(360) 601-2730,VANCOUVER,WA,https://www.2coatspainting.com,1.000,True,Painting
12 MOONS LLC,(360) 909-6051,VANCOUVER,WA,https://www.12moons.com,1.000,,General Contracting
1-800-STRIPER OF BELLEVUE,(425) 532-5401,KIRKLAND,WA,https://1800striper.com/striper-of-bellevue/,1.000,False,Painting
1ST CHOICE PLUMBING INC,(425) 876-8015,EVERETT,WA,https://1st-choice-plumbing.com,1.000,True,Plumbing
1-A CONSTRUCTION & FIRE LLP,(541) 567-5730,HERMISTON,OR,https://www.1aconstructionandfirellp.com,1.000,,Excavation
12 DECKS & FENCES LLC,(206) 487-6747,Snohomish,WA,https://12decks.vercel.app/,1.000,True,Fencing
108 Contractors,(253) 347-7547,FEDERAL WAY,WA,https://www.108contractors.com,1.000,,Handyman
11043 PALATINE AVE N LLC,(425) 212-2210,EVERETT,WA,https://www.11043palatineaven.com,1.000,True,Handyman
12 GENERAL HANDYMAN,(253) 391-9545,LAKEWOOD,WA,https://www.12generalhandyman.com,1.000,,Handyman
1-UP CONTRACTING,(360) 349-6099,TUMWATER,WA,https://www.1upcontracting.net,1.000,True,Insulation
10 PENNY CONSTRUCTION,(509) 699-6534,WENATCHEE,WA,https://www.10pennyconstruction.com,1.000,,Handyman
10 POINT CONSTRUCTION SRVS LLC,(253) 861-4544,TACOMA,WA,https://www.10pointconstructionsrvs.com,1.000,,Handyman
10 STAR PAINTING LLC,(206) 914-6434,AUBURN,WA,https://www.10starpainting.com,1.000,,Painting
@ YOUR SERVICE HOME APPL RPR,(425) 814-9462,KIRKLAND,WA,https://www.yourservicehomeapplrpr.net,1.000,True,Electrical
10/Zero5 General Contr LLC,(509) 539-2907,PASCO,WA,https://www.10zero5generalcontr.com,1.000,,Handyman
100 Oaks Nrsy Lndscp/Grdn Srvs,(360) 789-0873,OLYMPIA,WA,https://www.100oaksnrsylndscpgrdnsrvs.net,1.000,True,Landscaping
101 Pest Control LLC,(360) 670-3085,CARLSBORG,WA,https://www.101pestcontrol.com,1.000,True,Pest Control
1st Choice Plumbing & Rep. LLC,(509) 895-4035,SELAH,WA,https://1st.net,1.000,,Plumbing
1ST CHOICE PAINTING LLP,(253) 548-6183,PUYALLUP,WA,https://1st.net,1.000,,Painting
100% PAINTING LLC,(360) 878-4206,TENINO,WA,https://www.100painting.com,1.000,True,Painting
& BUILD,(206) 271-1267,SEATTLE,WA,https://www.andbuild.net,1.000,,Handyman
2 BROTHERS CONCRETE LLC,(206) 941-8858,AUBURN,WA,https://www.2brothersconcrete.org/,1.000,True,Concrete
1040WINDOWREMODELING L L C,(971) 777-5107,VANCOUVER,WA,https://www.1040windowremodelingllc.net,1.000,True,Windows & Doors
1ST CHOICE CONSTRUCTION INC,(253) 569-4588,Algona,WA,https://1stchoicehomeconstruction.com/,1.000,True,Roofing
1ST CHANCE ELECTRIC INC,(509) 475-9175,SPOKANE,WA,https://1st.net,1.000,,Electrical
2 AMIGOS ROOFING LLC,(509) 834-9739,YAKIMA,WA,https://www.2amigosroofing.com,1.000,,Roofing
23RD ST GARDENING & DESIGN,(425) 335-5287,ANACORTES,WA,https://www.23rdstgardeninganddesign.net,1.000,True,Landscaping
11202 LLC,(206) 797-9700,MERCER ISLAND,WA,https://www.11202.com,1.000,,Handyman
10733 MERIDIAN AVE NE LLC,(425) 290-2755,ALBUQUERQUE,NM,https://www.10733meridianavene.com,1.000,,Handyman
1-800 PLUMBER & AIR PACIFIC NW,(503) 676-3449,BEAVERTON,OR,https://1800plumber.com/portland-or/,1.000,True,Plumbing
1 STOP REAL ESTATE REHAB LLC,(360) 239-0222,OLYMPIA,WA,https://www.1stoprealestaterehab.com,1.000,,Handyman
1STOP INTERIOR,(360) 676-6034,BELLINGHAM,WA,https://www.1stopinterior.net,1.000,True,Flooring
2 THE T EXTERIOR LLC,(206) 504-0518,KENT,WA,https://www.2thetexterior.com,1.000,,Handyman
1002 COATINGS & CONST LLC,(253) 678-1806,SUMNER,WA,https://www.1002coatingsandconst.com,1.000,,Painting
11336 20TH AVE NE LLC,(425) 212-2210,EVERETT,WA,https://www.1133620thavene.com,1.000,,Handyman
1ST CALL PLUMBING & HTG LLC,(253) 244-4325,TACOMA,WA,https://1st.net,1.000,,Plumbing
1134 LAKESIDE SOUTH LLC,(206) 254-5606,SEATTLE,WA,https://www.1134lakesidesouth.com,1.000,,Handyman
11737 40TH AVE NE LLC,(425) 344-3048,SEATTLE,WA,https://www.1173740thavene.com,1.000,,Handyman
2 BROS FLOORING LLC,(971) 344-7396,Vancouver,WA,https://www.2brosflooring.com,1.000,,Flooring
21ST CENTURY CONSTRUCTION LLC,(509) 934-8404,CHEWELAH,WA,https://www.21stcenturyconstruction.com,1.000,,Handyman
$AVER HARDWOOD FLOORS LLC,(206) 372-5166,RENTON,WA,https://www.averhardwoodfloors.com,1.000,True,Flooring
11TH HR WELDING  FAB & RPR LLC,(702) 232-6433,BATTLE GROUND,WA,https://www.11thhrweldingfabandrpr.com,1.000,,Handyman
(H)ANDYMAN LLC,(206) 963-7622,SEATTLE,WA,https://www.handyman.com,1.000,True,Handyman
12 CUSTOM HOMES LLC,(509) 423-4969,CASHMERE,WA,https://www.12customhomes.com,1.000,True,Custom Homes
2 A T PAINTING LLC,(360) 840-5052,OAK HARBOR,WA,https://www.2atpainting.com,1.000,True,Painting
1ST CHOICE LANDSCAPING,(360) 999-8926,ARLINGTON,WA,https://1stchoicelandscapinginc.com/,1.000,True,Landscaping
212-WLD ABERDOUR LLC,(425) 576-9390,KIRKLAND,WA,https://www.212wldaberdour.com,1.000,,Handyman
1ST RESPONSE PLUMBING,(509) 847-8372,SPOKANE,WA,https://1stresponseplumbing.com,1.000,True,Plumbing
12 TILE,(206) 422-1359,Everett,WA,https://www.12tile.net,1.000,True,Flooring
#1EAGLEREMODELING LLC,(206) 372-8756,SPANAWAY,WA,https://www.1eagleremodeling.com,1.000,,
206PAINTERS LLC,(206) 419-0991,Edmonds,WA,https://www.206painters.com,1.000,,Painting
206 CREW LLC,(206) 458-3780,SEATTLE,WA,https://www.sledgeseattle.com/,1.000,True,Demolition
# JUAN HANDYMAN,(509) 847-9082,SPOKANE,WA,https://www.juanhandyman.com,1.000,,Handyman
1901-WLD KENMORE 68TH LLC,(425) 576-9390,KIRKLAND,WA,https://www.1901wldkenmore68th.com,1.000,,Handyman
12051 20TH AVE NE LLC,(425) 212-2210,EVERETT,WA,https://www.1205120thavene.com,1.000,,Handyman
2 COATS PAINTING LLC,(360) 601-2730,VANCOUVER,WA,https://www.2coatspainting.com,1.000,True,Painting
2020 Electric Company LLC,(360) 661-1781,GREENBANK,WA,https://www.2020electriccompany.com,1.000,,Electrical
123 Electric Service Inc,(425) 455-2027,Bellevue,WA,https://123electricservice.com/,1.000,True,Electrical
2003-WLD BRUNTSFIELD LLC,(425) 576-9390,KIRKLAND,WA,https://www.2003wldbruntsfield.com,1.000,,Handyman
# JUAN HANDYMAN LLC,(509) 847-9082,Medical Lake,WA,https://www.juanhandyman.com,1.000,True,Handyman
