business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,created_at
1-800-PLUMBER + AIR,1800PA*771MU,PLUMBING CONTRACTOR,14630 NE 95th ST,,REDMOND,WA,98052,(425) 298-6969,"SUPRAMANIAN, RAMANATHAN",https://1800plumber.com/eastside-seattle-wa/,Plumbing,"1-800-Plumber +Air is an industry-leading Plumbing and HVAC company focused on providing fast, dependable plumbing and emergency services.","Plumbing Drain Repair, Plumbing Pipe Repair, Cooling Services, Heating Services, Emergency Services",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:14:05.289482,,2025-07-31 19:40:28.977388
1-800-STRIPER OF BELLEVUE,1800SB*767M5,CONSTRUCTION CONTRACTOR,11112 NE 124TH LN APT D213,,KIRKLAND,WA,98034,(425) 532-5401,"HESS, KIERAN MATTHEW",https://www.everettpost.com/shop-local,Painting,"1-800-STRIPER of Bellevue specializes in parking lot striping services for properties in Seattle, Bellevue, Everett, and the Greater Puget Sound.","Parking lot striping, Sport court painting, Line marking",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:14:20.733036,,2025-07-31 19:40:28.977388
2 SONS PLUMBING,2SONSSP759TF,PLUMBING CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,"BOVAN, ROWDY SCOTT",https://2sonsplumbing.com,Plumbing,"2 Sons Plumbing is a licensed plumbing contractor based in Pacific, WA, offering a wide range of plumbing services for both residential and commercial clients. They are recognized as one of the top plumbing companies in Seattle.","Residential Plumbing, Commercial Plumbing, Emergency Plumbing Services, Drain Cleaning, Sewer Repair, Water Heater Installation and Repair, Fixture Installation, Leak Detection",0.95,,0.95,,completed,approved_download,2025-08-01 04:19:46.179322,,2025-07-31 19:40:28.977388
2 SONS PLUMBING,2SONSSP757D5,ELECTRICAL CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,"BOVAN, ROWDY",https://2sonsplumbing.com,Plumbing,"2 Sons Plumbing is a top-rated plumbing service provider in Seattle, offering a wide range of plumbing solutions for both residential and commercial clients. They are known for their reliable service and emergency assistance.","Residential Plumbing, Commercial Plumbing, Emergency Plumbing Services, Drain Cleaning, Sewer Repair, Water Heater Installation and Repair, Fixture Installation, Leak Detection",0.90,,0.90,,completed,approved_download,2025-08-01 04:19:12.580974,,2025-07-31 19:40:28.977388
2 SONS PLUMBING,2SONSSP759CF,CONSTRUCTION CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,"BOVAN, ROWDY SCOTT",https://2sonsplumbing.com,Plumbing,"2 Sons Plumbing is a licensed plumbing contractor based in Seattle, WA, offering a wide range of plumbing services for both residential and commercial clients. They are recognized as one of the top plumbing companies in the area.","Residential Plumbing, Commercial Plumbing, Emergency Plumbing Services, Drain Cleaning, Sewer Repair, Water Heater Installation and Repair, Fixture Installation, Leak Detection",1.00,,1.00,,completed,approved_download,2025-08-01 04:19:22.250118,,2025-07-31 19:40:28.977388
2020 Electric Company LLC,2020EEC804CQ,ELECTRICAL CONTRACTOR,PO BOX 150,,GREENBANK,WA,98253,(360) 661-1781,"Armour, David A",https://elcose.com,Electrical,"Family owned and operated electrical contractor serving the Seattle area since 1993, providing fast service by expert electricians.","New installations, Rewiring, Troubleshooting, Residential panel changes and service upgrades, Knob and tube rewiring, Lighting design and installation, EV charging stations, Commercial tenant improvement, Restaurant wiring and rewiring, Data, voice, and multimedia wiring, Commercial appliance and equipment wiring",0.90,,0.90,,completed,approved_download,2025-08-01 04:20:25.496700,,2025-07-31 19:40:28.977388
24 HOUR FLOOD RESPONSE,24HOUHF898JF,CONSTRUCTION CONTRACTOR,PO BOX 30937,,SEATTLE,WA,98113,(206) 380-4986,"SACKSTEDER, CHARLES RUPERT",https://24hourfloodresponse.com,Water Damage Restoration,"24 Hour Flood Response provides premium water damage remediation services, focusing on emergency water extraction and structural drying.","Extraction of Standing Water, Sewer Backups, Decontamination, Structural Drying, Remodeling, Direct Billing to Insurance",0.90,,0.90,,completed,approved_download,2025-08-01 04:22:46.517815,,2025-07-31 19:40:28.977388
3 BROTHERS DECKING LLC,3BROTBD817J6,CONSTRUCTION CONTRACTOR,17048 se 65th pl,,Bellevue,WA,98006,(206) 775-4897,"Nestor, Anthony Steven M",https://3brothersdecking.com,Decking,"3 Brothers Decking is a family-owned business specializing in custom deck construction and installation, serving Western Washington and Northern Idaho.","Deck Construction and Installation, Patio Covers & Roof Extensions, Custom Deck Railing Systems, Deck Lighting & Finishing Touches",0.90,,0.90,,completed,approved_download,2025-08-01 04:27:12.790982,,2025-07-31 19:40:28.977388
3 COATS PAINTING,3COATCP770QW,CONSTRUCTION CONTRACTOR,15600 NE 8TH ST,SUITE B1 #101,BELLEVUE,WA,98008,(425) 802-8203,"GONZALEZ TAMEZ, CARLOS",https://3coatspainting.com,Painting,"3 Coats Painting offers professional quality home painting services in Seattle, specializing in both interior and exterior painting.","Exterior Painting, Interior Painting, Doors & Windows Painting, Kitchen Cabinets Painting, Woodwork Painting, Pressure Washing",0.90,,0.90,,completed,approved_download,2025-08-01 04:27:21.613459,,2025-07-31 19:40:28.977388
3 KINGS ENVIRONMENTAL INC,3KINGEI036K3,CONSTRUCTION CONTRACTOR,PO BOX 280,,BATTLE GROUND,WA,98604,(360) 666-5464,"KING, RONALD L",https://3kingsenvironmental.com,Environmental Services,"3 Kings Environmental is a company focused on providing high-quality environmental construction services in Washington and Oregon, specializing in asbestos removal, remediation, and excavation.","Residential Abatement, Residential Remediation, Commercial Asbestos Removal, Commercial Demolition, Environmental Assessment Services, Excavation Services, Environmental Remediation",0.90,,0.90,,completed,approved_download,2025-08-01 04:27:44.095177,,2025-07-31 19:40:28.977388
3 Little Pigs Masonry LLC,3LITTLP906J3,CONSTRUCTION CONTRACTOR,15 Covington Court,,SEQUIM,WA,98382,(206) 326-8418,"Peterson, Jason E",https://3littlepigsmasonry.com,Masonry,"3 Little Pigs Masonry LLC is a premier masonry contractor in Sequim, specializing in stone, block, and brick work, including restoration and custom masonry services.","Stone Carving & Inlay, CMU, Stone & Brick Walls, Paver Driveways, Fireplaces & Chimneys, Restoration & Repair, Patios, Outdoor Kitchens, Walkways, Steps & Stairs",1.00,,1.00,,completed,approved_download,2025-08-01 04:28:43.241055,,2025-07-31 19:40:28.977388
3 RIVERS CUTTING INC,3RIVERC858LA,CONSTRUCTION CONTRACTOR,PO BOX 250,,DARRINGTON,WA,98241,(360) 436-0705,"Anderson, Jason",https://3riverscutting.com,Logging,"Three Rivers Cutting is a full-service logging company based in Darrington, Washington, providing cutting, clearing, and hauling services throughout Washington State.","Cutting, Clearing, Hauling, Permitting, Appraisals, Reforestation, Marketing",1.00,,1.00,,completed,approved_download,2025-08-01 04:29:04.398650,,2025-07-31 19:40:28.977388
360 GENERAL CONTRACTOR LLC,360GEGC763MJ,CONSTRUCTION CONTRACTOR,7005 S 120TH PL,,SEATTLE,WA,98178,(206) 581-5637,"LOPEZ LEMUS, CARLOS ERNESTO",https://generalcontractors.org,General Contractor,"360 GENERAL CONTRACTOR LLC is a construction contractor based in Seattle, WA, providing various construction services.",,0.80,,0.80,,completed,approved_download,2025-08-01 04:31:17.943530,,2025-07-31 19:40:28.977388
