business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,created_at,exported_at,export_batch_id
+SUN TREE SERVICE LLC,SUNTRTS782Q1,CONSTRUCTION CONTRACTOR,11011 Park Ave S,Apt C110,Parkland,WA,98444,(253) 468-0554,"ARIAS MARTINEZ, ANGELICA MARIA",https://www.bizapedia.com/wa/sun-tree-service-llc.html,Tree Service,"The business name explicitly includes 'Tree Service', indicating a clear focus on this specific service. The content suggests that the business is legitimate and primarily serves homeowners, as tree services are typically residential in nature.",,0.90,0.75,0.90,True,completed,approved_download,2025-08-03 23:05:52.184751,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
1 TOM PLUMBER,1TOMPTP773O8,PLUMBING CONTRACTOR,6250 W CLEARWATER AVE STE 101,,KENNEWICK,WA,99336,(509) 727-3413,"GOIRI, SCOTT A",https://1tomplumber.com,Plumbing,"The business name '1 TOM PLUMBER' clearly indicates a focus on plumbing services. The website content explicitly mentions plumbing, drain cleaning, and water damage restoration, which are all specific services within the plumbing category. The presence of an emergency response team further supports a residential focus, as these services are typically needed by homeowners. The high confidence score reflects the alignment between the business name and the services offered.",,0.90,0.40,0.90,True,completed,approved_download,2025-08-06 02:29:53.073620,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
1-800-BOARDUP,1800B**917L9,CONSTRUCTION CONTRACTOR,3701 W G St,,Bremerton,WA,98312,(206) 522-9570,"OMLI, DAVID MICHAEL",https://nordicservices.com/contact-us/,Handyman,"The business name '1-800-BOARDUP' suggests a focus on emergency services, which often includes handyman services. The content mentions serving the greater Puget Sound region, indicating a residential focus. However, specific services were not detailed, leading to a moderate confidence score.",,0.80,0.85,0.80,True,completed,approved_download,2025-08-03 23:26:53.066701,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
1-800-BOARDUP,1800B**929O9,CONSTRUCTION CONTRACTOR,1581 N NATIONAL AVE,,CHEHALIS,WA,98532,(360) 345-1095,"GODFREY, KEVIN KEITH",https://www.firewaterstorm.com/,Restoration Cleaning,"The website content indicates a focus on restoration services related to water, fire, and storm damage, which aligns with the category of Restoration Cleaning. The presence of specific services suggests a legitimate business that primarily serves homeowners.",,0.80,0.85,0.80,True,completed,approved_download,2025-08-06 02:30:17.693569,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
1-800-STRIPER OF BELLEVUE,1800SB*767M5,CONSTRUCTION CONTRACTOR,11112 NE 124TH LN APT D213,,KIRKLAND,WA,98034,(425) 532-5401,"HESS, KIERAN MATTHEW",https://1800striper.com/pressure-washing-services/,Exterior Cleaning,"The business name '1-800-STRIPER OF BELLEVUE' suggests a focus on striping services, but the website content specifically highlights pressure washing services, which falls under the category of 'Exterior Cleaning'. The content indicates that they serve both commercial and residential properties, but the mention of 'home services' leans towards a residential focus. The business appears legitimate based on the provided license and contact information.",,0.80,0.95,0.80,True,completed,approved_download,2025-08-03 23:27:05.123798,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
10 STAR CONSTRUCTION LLC,10STASC845MA,CONSTRUCTION CONTRACTOR,18209 52ND AVE W #307,,LYNNWOOD,WA,98037,(425) 772-8264,"MIRAMONTES - RAMIREZ, CRISTOBA",https://10starconstruction.com/,Home Builder,"The business name '10 STAR CONSTRUCTION LLC' indicates a construction focus, and the website content mentions services related to new construction and remodels, which aligns with the category of Home Builder. The confidence is high due to the specific mention of construction-related services, and the residential focus is confirmed by the nature of the services offered.",,0.80,0.90,0.80,True,completed,approved_download,2025-08-03 23:27:57.731124,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
100 PROOF DRYWALL LLC,100PRPD823OR,CONSTRUCTION CONTRACTOR,PO BOX 86,,SOUTHWORTH,WA,98386,(360) 317-3229,"LINDAL, JAMES WALLACE",https://www.100proofdrywall.com/,Dry Wall,"The business name '100 PROOF DRYWALL LLC' clearly indicates a focus on drywall services. The content mentions the owner's extensive experience in both commercial and residential drywall work, suggesting a strong emphasis on serving homeowners. The confidence score is high due to the specific mention of drywall services and the professional background of the owner.",,0.90,0.95,0.90,True,completed,approved_download,2025-08-03 23:28:23.462172,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
101 MOBILITY,101MOM*823B5,CONSTRUCTION CONTRACTOR,6265 40TH ST E,,TACOMA,WA,98424,(206) 596-6926,"BALUCH, SCOTT A",https://www.101mobility.com/locations/all-locations/,Bathroom/Kitchen Remodel,"The business name '101 Mobility' suggests a focus on mobility solutions, which aligns with the services offered related to bathroom safety and accessibility. The content indicates a strong emphasis on home modifications for safety and comfort, particularly for residential clients. The confidence score is high due to the specific mention of bathroom safety solutions, which fits well within the 'Bathroom/Kitchen Remodel' category.",,0.80,0.40,0.80,True,completed,approved_download,2025-08-03 23:29:04.094553,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
101 Pest Control LLC,101PEPC881MZ,CONSTRUCTION CONTRACTOR,P O BOX 548,,CARLSBORG,WA,98324,(360) 670-3085,"Mason, John R",https://www.co.jefferson.wa.us/1528/21662,Pest Control,"The business name '101 Pest Control LLC' clearly indicates a focus on pest control services. The content mentions 'noxious weed control', which aligns with pest control services. The confidence score is high due to the specific service mentioned and the business name matching the category.",,0.80,0.60,0.80,True,completed,approved_download,2025-08-06 02:30:38.517152,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
110% LLC,110LLL*812CA,CONSTRUCTION CONTRACTOR,206 W YELM AVE,,YELM,WA,98597,(360) 259-7189,"Schmier, Adam",https://getdnaplumbingllc.com/,Plumbing,"The business name 'DnA Plumbing LLC' clearly indicates a focus on plumbing services. The content repeatedly emphasizes licensed and insured plumbing services, which aligns with the specific category of Plumbing. The mention of 'Thurston County' suggests a local service area, indicating a residential focus.",,0.90,0.95,0.90,True,completed,approved_download,2025-08-03 23:24:13.916478,,2025-08-02 05:26:37.771459,2025-08-07 17:07:38.560531,2
