business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,created_at
3 BRIDGES ELECTRIC,3BRIDBE787LA,ELECTRICAL CONTRACTOR,1509 PROSPECT ST,,TACOMA,WA,98406,(253) 590-8973,"HUFF, DAVID J",https://3bridgeselectric.com,Electrical,"3 Bridges Electric is a family-owned electrical contractor based in Tacoma, WA, providing high-quality electrical services to both residential and commercial clients with a focus on safety, efficiency, and sustainability.","Electrical Repair & Remodel, Commercial Tenant Improvements, Panel Changes & Service Upgrades, Indoor & Outdoor Lighting, EV Charging Station Installation, Hot Tub Wiring, Electrical Troubleshooting, Emergency Back-Up Power, Knob & Tube Replacement",1.00,,1.00,,completed,approved_download,2025-07-24 04:44:08.419006,,2025-07-22 23:37:37.197793
3 BROTHERS DECKING LLC,3BROTBD817J6,CONSTRUCTION CONTRACTOR,17048 se 65th pl,,Bellevue,WA,98006,(206) 775-4897,"Nestor, Anthony Steven M",https://3brothersdecking.com,Decking,3 Brothers Decking is a family-owned deck builder and home improvement contractor specializing in custom deck designs and high-quality materials in Washington and North Idaho.,"Deck Construction and Installation, Patio Covers & Roof Extensions, Custom Deck Railing Systems, Deck Lighting & Finishing Touches",1.00,,1.00,,completed,approved_download,2025-07-24 04:44:04.527305,,2025-07-22 23:37:37.197793
3 COATS PAINTING,3COATCP770QW,CONSTRUCTION CONTRACTOR,15600 NE 8TH ST,SUITE B1 #101,BELLEVUE,WA,98008,(425) 802-8203,"GONZALEZ TAMEZ, CARLOS",https://3coatspainting.com,Painting,"3 Coats Painting offers professional quality home painting services in Seattle, specializing in both interior and exterior painting.","Exterior Painting, Interior Painting, Doors & Windows Painting, Kitchen Cabinets Painting, Woodwork Painting, Pressure Washing",0.90,,0.90,,completed,approved_download,2025-07-24 04:44:14.748296,,2025-07-22 23:37:37.197793
3 KINGS ENVIRONMENTAL INC,3KINGEI036K3,CONSTRUCTION CONTRACTOR,PO BOX 280,,BATTLE GROUND,WA,98604,(360) 666-5464,"KING, RONALD L",https://3kingsenvironmental.com,Environmental,"3 Kings Environmental is a company focused on providing high-quality environmental construction services in Washington and Oregon, specializing in abatement, remediation, and demolition.","Residential Abatement, Residential Environmental, Residential Remediation, Residential USTs/HOTs, Commercial Asbestos Removal, Commercial Demolition, Commercial Environmental Assessment Services, Commercial Excavation Services, Commercial Environmental Remediation",0.90,,0.90,,completed,approved_download,2025-07-24 04:44:31.814568,,2025-07-22 23:37:37.197793
3 Little Pigs Masonry LLC,3LITTLP906J3,CONSTRUCTION CONTRACTOR,15 Covington Court,,SEQUIM,WA,98382,(206) 326-8418,"Peterson, Jason E",https://3littlepigsmasonry.com,Masonry,"3 Little Pigs Masonry LLC is a premier masonry contractor in Sequim, WA, specializing in stone, block, and brick work, including custom masonry restoration and construction for residential and commercial properties.","Stone Carving & Inlay, CMU, Stone & Brick Walls, Paver Driveways, Fireplaces & Chimneys, Restoration & Repair, Patios, Outdoor Kitchens, Walkways, Steps & Stairs",1.00,,1.00,,completed,approved_download,2025-07-24 04:44:38.017980,,2025-07-22 23:37:37.197793
3 RIVERS HOME SERVICES LLC,3RIVEHS755CC,CONSTRUCTION CONTRACTOR,2401 NE 78TH CT,,VANCOUVER,WA,98664,(360) 773-0769,"SAWYER, JUSTIN GRANT",https://3rivershomeservices.com,Handyman,"3 Rivers Home Services LLC is a Vancouver, WA-based home services company specializing in a wide range of home repair services including decks, siding, fences, windows, doors, and more.","Decks, Siding, Fences, Windows, Doors, Permanent Lighting, Water Damage Repair, Flooring, Painting",0.90,,0.90,,completed,approved_download,2025-07-24 04:44:45.032418,,2025-07-22 23:37:37.197793
345 CONSTRUCTION & FLOORING CO,345COCF826CE,CONSTRUCTION CONTRACTOR,15405 Manor way,,Lynnwood,WA,98087,(425) 879-7646,"RIGDON, STEPHEN JOSEPH",https://www.procore.com/network/p/345-construction-and-flooring-co-lynnwood,Flooring,"345 Construction and Flooring Co is a contractor based in Lynnwood, WA, specializing in various flooring solutions including resilient flooring, wood flooring, and ceramic tiling.","Resilient Flooring, Wood Flooring, Ceramic Tiling, Fluid Applied Flooring, Carpeting, Flooring Treatment",0.81,0.75,0.90,,completed,approved_download,2025-07-24 04:45:11.881619,,2025-07-22 23:37:37.197793
360 Dirt Works LLC,360DIDW835NJ,CONSTRUCTION CONTRACTOR,2210 W Main St Ste 107 PMB330,,BATTLE GROUND,WA,98604,(360) 624-1676,"Bessette, Vickie Lou",https://www.roadrunnerpavingllc.com/,Excavation,"360 Dirt Works LLC is a family-operated excavation company specializing in site preparation, RV pads, and road construction, serving Cowlitz and Clark County, Washington.","Excavation, Site Preparation, Dirt Delivery, Gravel Delivery, Dozer Work, Paving",0.81,0.75,0.90,,completed,approved_download,2025-07-24 04:45:38.611971,,2025-07-22 23:37:37.197793
360 FLOORS & DESIGN LLC,360FLFD818D1,CONSTRUCTION CONTRACTOR,2906 E ST,,WASHOUGAL,WA,98671,(360) 335-0700,"LINDBERG, RACHEL SILVER",https://www.360floorsdesign.com/,Flooring,"360 Floors and Design is a family-owned flooring store in Washougal, WA, offering a wide range of flooring products and installation services for residential customers.","Flooring sales, Flooring installation, Custom shower construction, Flooring samples",0.85,0.75,1.00,,completed,approved_download,2025-07-24 04:45:34.501558,,2025-07-22 23:37:37.197793
3HJ CONTRACTING LLC,3HJCOCL776O1,CONSTRUCTION CONTRACTOR,26409 SE 31ST ST,,SAMMAMISH,WA,98075,(425) 281-1030,"FELIX, JOSEPH DANIEL",https://3hjcontracting.com,Handyman,"3HJ Contracting LLC specializes in turning dream homes into reality with a focus on residential repairs, remodels, and additions, emphasizing superior craftsmanship and exceptional customer service.","Kitchen Remodels, Bathroom Remodels, Decks, Pergolas, Fences, Handyman Services, Flooring, Doors, Windows, Siding",0.90,,0.90,,completed,approved_download,2025-07-24 04:46:29.395534,,2025-07-22 23:37:37.197793
3MICHAEL'S EXVTNG & LNDSCP LLC,3MICHEL811OT,CONSTRUCTION CONTRACTOR,14492 CHERRY CREEK PL SW,,PORT ORCHARD,WA,98367,(206) 554-9380,"WELSH, MICHAEL TERRANCE",https://3michaels.com,Kitchen & Bath,"3Michael's Exvting & Lnscp LLC specializes in high-quality construction, remodeling, and renovation services, focusing on kitchen and bathroom remodels, patio construction, flooring, and custom carpentry.","Kitchen Remodeling, Bathroom Remodeling, Patio Construction, Flooring Installation, Custom Carpentry, Commercial Construction, Painting Services",0.90,,0.90,,completed,approved_download,2025-07-24 04:46:40.727321,,2025-07-22 23:37:37.197793
4 ACES RESTORATION LLC,4ACESAR838DF,CONSTRUCTION CONTRACTOR,2003 S 216TH AVE,,DES MOINES,WA,98198,(206) 335-9409,"Guillen Torres, Oscar",https://4acesrestoration.com,Asbestos Removal,"4 Aces Restoration specializes in asbestos removal, demolition, and restoration services, serving the SeaTac and Tacoma areas.","Asbestos removal, Asbestos testing, Water restoration, Mold remediation, Demolition services, Lead abatement, Insulation services, Crime scene cleanup",0.90,,0.90,,completed,approved_download,2025-07-24 04:47:11.552419,,2025-07-22 23:37:37.197793
4 GEN CONTRACTORS LLC,4GENCGC761DH,CONSTRUCTION CONTRACTOR,23710 NE STATE RTE 3,UNIT A,BELFAIR,WA,98528,(360) 649-5386,"LINCOLN, CHRISTOPHER THOMAS",https://business.kitsapbuilds.com/list/member/4-gen-contractors-llc-41480,Excavation,"4 Gen Contractors LLC specializes in custom homes, full remodels, shoreline protection, decks, hardscapes, and excavation services across Mason, Kitsap, and Pierce Counties, WA.","Bulkhead & Retaining Wall, Basement/Crawlspace Waterproofing, New Construction, Carpentry/Finish Work, Concrete/Construction, Excavation Services/Land Clearing/Site Preparation, Remodeling (Commercial & Residential), Restoration/Preservation",0.81,0.75,0.90,,completed,approved_download,2025-07-24 04:47:21.755883,,2025-07-22 23:37:37.197793
4 SEASONS EXTERIORS LLC,4SEASSE805BM,CONSTRUCTION CONTRACTOR,20537 SE 272nd St,,KENT,WA,98042,(253) 736-4578,"Mejia Aguas, Benjamin",https://www.instantroofer.com/washington-roof-replacement-cost/kent/,Siding,"4 Seasons Exteriors is a family-owned business dedicated to transforming homes in Kent, Washington, focusing on quality craftsmanship in siding and other exterior services.","Siding installation, Siding repair, Concrete work, Patios, Sidewalks, Foundations",0.81,0.75,0.90,,completed,approved_download,2025-07-24 04:47:40.278100,,2025-07-22 23:37:37.197793
4 SIGHT SEPTIC INC,4SIGHSS933DA,CONSTRUCTION CONTRACTOR,12055 BANNER RD SE,,OLALLA,WA,98359,(360) 710-0296,"LEA, NATHANAEL E",https://4sightseptic.com,Plumbing,"4 Sight Septic Inc is a family-owned business specializing in septic system services, including maintenance, repairs, and inspections, with over 12 years of experience in the Olalla, WA area.","Septic Maintenance, Septic Repairs, Pre-Sale Septic Inspections, Drain Field Camera Scoping",0.90,,0.90,,completed,approved_download,2025-07-24 04:48:22.899743,,2025-07-22 23:37:37.197793
4EVERGREEN FABRICATORS LLC,4EVERFL925K9,CONSTRUCTION CONTRACTOR,1402 LAKE TAPPS PKWY E,,AUBURN,WA,98092,(253) 691-6752,"HANSEN, TRAVIS JASON",https://4evergreenfabricators.com,Kitchen & Bath,"4EVERGREEN FABRICATORS LLC specializes in custom fabrication and installation of granite, quartz, and other natural stone countertops for residential and commercial properties.","Custom countertop design, Granite countertop fabrication, Quartz countertop installation, Marble countertop services, Eco-friendly countertop options",1.00,,1.00,,completed,approved_download,2025-07-24 04:49:08.263103,,2025-07-22 23:37:37.330647
4PROS WATER DAMAGE LLC,4PROSWD752KB,CONSTRUCTION CONTRACTOR,PO BOX 3041,,FEDERAL WAY,WA,98063,(206) 295-1461,"SALGADO, JUAN ORLANDO",https://4proswaterdamage.com,Water Damage Restoration,"4Pros Water Damage LLC provides 24/7 emergency disaster restoration services, specializing in water damage restoration, fire and smoke damage restoration, mold removal, and sewage cleanup.","Water Damage Restoration, Fire & Smoke Damage Restoration, Mold Removal & Remediation, Sewage Cleanup, Crawlspace Cleaning, Biohazard Cleanup",1.00,,1.00,,completed,approved_download,2025-07-24 04:49:24.057183,,2025-07-22 23:37:37.330647
5 CORNERS PLUMBING LLC,5CORNCP792NG,PLUMBING CONTRACTOR,9307 NE 140th ST,,KIRKLAND,WA,98034,(206) 508-7972,"FUJII, KENJI",https://5cornersplumbing.com/,Plumbing,"5 Corners Plumbing LLC provides expert plumbing services in Kirkland, WA, focusing on integrity, craftsmanship, and customer satisfaction.","Bathroom Remodeling, Water Repiping, Shower Replacement, Toilet Replacement, Sink Installation, Faucet Installation, Garbage Disposal Installation",0.85,0.75,1.00,,completed,approved_download,2025-07-24 04:49:36.736099,,2025-07-22 23:37:37.330647
5 STAR NW CONSTRUCTION LLC,5STARSN761L8,CONSTRUCTION CONTRACTOR,10605 SE 240TH ST,,KENT,WA,98031,(253) 397-9471,"YONKO, SAL JOSEPH",https://5starnwconstruction.com,Concrete,"5 Star NW Construction specializes in residential and commercial asphalt maintenance, including sealcoating, paving, pothole repair, crack filling, and parking lot striping.","Asphalt Paving, Asphalt Sealcoating, Pothole Repair, Crack Filling, Parking Lot Striping",0.90,,0.90,,completed,approved_download,2025-07-24 04:49:57.947889,,2025-07-22 23:37:37.330647
A & A MASONRY & CONSTRUCTION,AAMASC*022PE,CONSTRUCTION CONTRACTOR,37629 51ST AVE S,,AUBURN,WA,98001,(253) 939-3729,"ARNDT, LESTER DEAN",https://aamasonryconstruction.com,Masonry,"A&A Masonry & Construction specializes in masonry services with a focus on chimney repair, boasting over 30 years of experience.","Masonry, Chimney Repair, Restoration",0.90,,0.90,,completed,approved_download,2025-07-24 04:51:48.428272,,2025-07-22 23:37:37.330647
A & B FABRICATORS INC,BFABRBF946L6,CONSTRUCTION CONTRACTOR,231 D STREET NW,,AUBURN,WA,98001,(206) 763-2600,"THOMAS, TROY MICHAEL",https://abfabricators.com/,Metal Fabrication,"A & B Fabricators, Inc. specializes in custom metal fabrications, including stair guardrails, handrails, and decorative metals, with a strong focus on design and project management.","Custom Metal Fabrication, Design Assistance, Project Management, Installation of Metal Components, Quality Control",0.81,0.75,0.90,,completed,approved_download,2025-07-24 04:52:06.347132,,2025-07-22 23:37:37.330647
A & J WA TREE SERVICES LLC,JWATRJW767M5,CONSTRUCTION CONTRACTOR,3713 S 257TH ST,,KENT,WA,98032,(206) 476-9259,"REYES RODRIGUEZ, ANTONIO DAVID",https://ajwatreeservices.com,Landscaping,"A&J WA Tree Services offers expert tree care, removal, and maintenance in Des Moines, WA, with a commitment to safety and customer satisfaction.","Tree Removal, Tree Trimming, Stump Removal, Fall Clean Up, Shrub Trimming, Mulch Installation",1.00,,1.00,,completed,approved_download,2025-07-24 04:53:01.702679,,2025-07-22 23:37:37.330647
A A ANDERSON CO,AAANDC*385BA,ELECTRICAL CONTRACTOR,1409 FOREST ST,,BELLINGHAM,WA,98225,(360) 734-7710,"WENDLING, SHARON A",https://www.whatcomlocal.com/l/wa/heating-contractors,Electrical,"A A Anderson Co is a full-service electrical contractor based in Bellingham, WA, providing both residential and commercial electrical services, as well as HVAC solutions.","Electrical installations, Service calls, Sheet metal fabrication, HVAC services",0.81,0.75,0.90,,completed,approved_download,2025-07-24 04:53:59.979167,,2025-07-22 23:37:37.330647
